,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
JSWHL,2016-11-23,2016-12-06,1293.05,0.01,1273.45,1325.0,0.04,0.0,-0.02,0.03
KRBL,2016-11-23,2016-12-06,269.19,0.01,260.2,272.05,0.04,0.0,-0.01,0.02
OCL,2016-11-23,2016-12-06,775.5,0.03,737.65,766.15,0.04,0.0,-0.02,0.04
MARKSANS,2016-11-23,2016-12-06,43.67,0.01,42.05,43.85,0.04,0.0,-0.02,0.02
KTKBANK,2016-11-23,2016-12-06,105.21,0.02,103.8,107.75,0.04,0.0,-0.02,0.04
JPASSOCIAT,2016-11-23,2016-12-06,7.58,0.03,7.45,7.75,0.04,0.0,-0.05,0.06
HATHWAY,2016-11-23,2016-12-06,34.82,0.03,33.65,35.15,0.04,0.0,-0.03,0.06
JMTAUTOLTD,2016-11-23,2016-12-06,22.66,0.04,21.3,22.25,0.04,0.0,-0.07,0.08
RUCHISOYA,2016-11-23,2016-12-06,19.86,0.02,19.05,19.85,0.04,0.0,-0.04,0.03
CHENNPETRO,2016-11-23,2016-12-06,266.02,0.02,254.9,265.2,0.04,0.0,-0.03,0.05
BALLARPUR,2016-11-23,2016-12-06,16.18,0.04,14.85,15.45,0.04,0.0,-0.06,0.08
SUNDRMFAST,2016-11-23,2016-12-06,289.49,0.02,279.35,290.5,0.04,0.0,-0.02,0.03
CESC,2016-11-23,2016-12-06,581.08,0.01,568.75,589.4,0.04,0.0,-0.03,0.02
ULTRACEMCO,2016-11-23,2016-12-06,3541.89,0.01,3452.2,3601.9,0.04,0.0,-0.01,0.02
ATUL,2016-11-23,2016-12-06,2115.88,0.03,2028.95,2117.75,0.04,0.0,-0.03,0.05
SRF,2016-11-23,2016-12-06,1526.44,0.02,1464.5,1525.1,0.04,0.0,-0.03,0.05
ASHOKA,2016-11-23,2016-12-06,142.07,0.02,141.05,146.9,0.04,0.0,-0.02,0.04
VIPIND,2016-11-23,2016-12-06,118.65,0.01,116.65,121.9,0.04,0.0,-0.01,0.03
GLAXO,2016-11-23,2016-12-06,2707.3,0.01,2656.3,2770.2,0.04,0.0,-0.02,0.02
CIPLA,2016-11-23,2016-12-06,566.5,0.01,552.8,574.85,0.04,0.0,-0.0,0.02
VTL,2016-11-23,2016-12-06,1094.75,0.01,1067.0,1109.4,0.04,0.0,-0.0,0.02
CUB,2016-11-23,2016-12-06,135.49,0.02,134.3,139.55,0.04,0.0,-0.03,0.05
GODREJIND,2016-11-23,2016-12-06,377.35,0.02,374.25,387.95,0.04,0.0,-0.02,0.04
SUPRAJIT,2016-11-23,2016-12-06,185.66,0.02,181.25,188.95,0.04,0.0,-0.02,0.03
ACC,2016-11-23,2016-12-06,1327.16,0.01,1302.75,1350.55,0.04,0.0,-0.01,0.02
CAIRN,2016-11-23,2016-12-06,247.54,0.01,241.05,251.0,0.04,0.0,-0.02,0.03
BLUESTARCO,2016-11-23,2016-12-06,474.75,0.02,470.0,482.05,0.03,0.0,-0.02,0.04
JETAIRWAYS,2016-11-23,2016-12-06,378.38,0.03,361.55,371.8,0.03,0.0,-0.04,0.06
SUZLON,2016-11-23,2016-12-06,14.62,0.01,14.15,14.6,0.03,0.0,-0.01,0.02
CAPLIPOINT,2016-11-23,2016-12-06,359.24,0.01,346.6,355.85,0.03,0.0,-0.02,0.03
DALMIABHA,2016-11-23,2016-12-06,1562.2,0.03,1488.5,1534.05,0.03,0.0,-0.05,0.04
JKLAKSHMI,2016-11-23,2016-12-06,378.25,0.04,370.0,379.75,0.03,0.0,-0.07,0.1
CANBK,2016-11-23,2016-12-06,310.76,0.01,304.75,313.3,0.03,0.0,-0.02,0.02
TV18BRDCST,2016-11-23,2016-12-06,37.18,0.02,36.35,37.4,0.03,0.0,-0.02,0.04
TECHM,2016-11-23,2016-12-06,473.37,0.02,453.1,465.45,0.03,0.0,-0.02,0.06
BHUSANSTL,2016-11-23,2016-12-06,40.28,0.02,39.25,40.6,0.03,0.0,-0.02,0.04
TITAN,2016-11-23,2016-12-06,316.75,0.03,312.5,323.5,0.03,0.0,-0.04,0.04
TVSSRICHAK,2016-11-23,2016-12-06,3370.51,0.02,3247.25,3347.2,0.03,0.0,-0.02,0.04
UCOBANK,2016-11-23,2016-12-06,33.45,0.01,32.65,33.7,0.03,0.0,-0.01,0.02
KSBPUMPS,2016-11-23,2016-12-06,597.84,0.01,581.1,600.95,0.03,0.0,-0.01,0.03
VAKRANGEE,2016-11-23,2016-12-06,274.84,0.01,274.05,282.65,0.03,0.0,-0.02,0.02
LINDEINDIA,2016-11-23,2016-12-06,355.29,0.02,345.2,357.4,0.03,0.0,-0.02,0.04
LUPIN,2016-11-23,2016-12-06,1505.1,0.02,1486.9,1527.1,0.03,0.0,-0.02,0.03
AJANTPHARM,2016-11-23,2016-12-06,1850.45,0.02,1820.75,1875.95,0.03,0.0,-0.03,0.02
AEGISCHEM,2016-11-23,2016-12-06,143.96,0.02,139.95,143.85,0.03,0.0,-0.05,0.03
ADANIPORTS,2016-11-23,2016-12-06,269.56,0.02,263.7,271.9,0.03,0.0,-0.03,0.03
WOCKPHARMA,2016-11-23,2016-12-06,688.1,0.01,674.3,693.85,0.03,0.0,-0.02,0.01
SUNTECK,2016-11-23,2016-12-06,193.3,0.02,192.8,198.55,0.03,0.0,-0.03,0.03
SHK,2016-11-23,2016-12-06,295.5,0.01,289.0,297.7,0.03,0.0,-0.02,0.03
GEPIL,2016-11-23,2016-12-06,476.41,0.02,477.55,490.2,0.03,0.0,-0.03,0.02
SINTEX,2016-11-23,2016-12-06,75.22,0.02,73.2,75.5,0.03,0.0,-0.02,0.04
PIIND,2016-11-23,2016-12-06,847.25,0.04,804.75,833.3,0.03,0.0,-0.03,0.1
GODREJCP,2016-11-23,2016-12-06,1448.34,0.02,1419.85,1466.6,0.03,0.0,-0.03,0.03
PIDILITIND,2016-11-23,2016-12-06,630.06,0.01,616.5,636.45,0.03,0.0,-0.01,0.03
SHREECEM,2016-11-23,2016-12-06,15270.06,0.02,15010.5,15506.3,0.03,0.0,-0.04,0.03
DISHTV,2016-11-23,2016-12-06,87.17,0.03,84.45,86.95,0.03,0.0,-0.04,0.07
SOUTHBANK,2016-11-23,2016-12-06,21.02,0.01,20.55,21.25,0.03,0.0,-0.02,0.03
DHANUKA,2016-11-23,2016-12-06,703.57,0.02,685.25,706.25,0.03,0.0,-0.02,0.02
FINPIPE,2016-11-23,2016-12-06,422.77,0.02,405.45,417.8,0.03,0.0,-0.02,0.04
RAMCOCEM,2016-11-23,2016-12-06,579.95,0.02,561.6,572.75,0.02,0.0,-0.03,0.04
UNICHEMLAB,2016-11-23,2016-12-06,264.87,0.01,258.55,263.7,0.02,0.0,-0.01,0.02
NITINFIRE,2016-11-23,2016-12-06,27.73,0.02,27.2,27.7,0.02,0.0,-0.03,0.04
BAJAJFINSV,2016-11-23,2016-12-06,2966.83,0.01,2931.15,2999.0,0.02,0.0,-0.02,0.02
GDL,2016-11-23,2016-12-06,228.12,0.02,224.2,229.7,0.02,0.0,-0.03,0.05
BBTC,2016-11-23,2016-12-06,502.6,0.01,490.8,499.65,0.02,0.0,-0.01,0.03
TIDEWATER,2016-11-23,2016-12-06,5720.72,0.01,5588.4,5713.6,0.02,0.0,-0.01,0.02
JUSTDIAL,2016-11-23,2016-12-06,374.59,0.01,370.05,379.4,0.02,0.0,-0.01,0.02
DENABANK,2016-11-23,2016-12-06,34.56,0.01,33.95,34.6,0.02,0.0,-0.02,0.03
SOBHA,2016-11-23,2016-12-06,250.37,0.02,251.7,256.75,0.02,0.0,-0.03,0.03
HEIDELBERG,2016-11-23,2016-12-06,113.07,0.02,113.1,115.65,0.02,0.0,-0.03,0.05
EDELWEISS,2016-11-23,2016-12-06,96.77,0.03,93.7,95.35,0.02,0.0,-0.04,0.05
KWALITY,2016-11-23,2016-12-06,125.95,0.02,122.45,125.45,0.02,0.0,-0.02,0.05
VIJAYABANK,2016-11-23,2016-12-06,44.7,0.02,43.55,44.45,0.02,0.0,-0.02,0.03
NBCC,2016-11-23,2016-12-06,227.24,0.02,228.65,233.95,0.02,0.0,-0.02,0.03
APOLLOHOSP,2016-11-23,2016-12-06,1210.52,0.02,1190.35,1218.0,0.02,0.0,-0.02,0.03
RAMCOSYS,2016-11-23,2016-12-06,320.25,0.03,319.05,327.0,0.02,0.0,-0.04,0.06
APARINDS,2016-11-23,2016-12-06,577.73,0.01,559.3,572.05,0.02,0.0,-0.02,0.03
VOLTAS,2016-11-23,2016-12-06,305.39,0.01,300.45,305.55,0.02,0.0,-0.02,0.03
HCLTECH,2016-11-23,2016-12-06,791.93,0.02,763.45,780.9,0.02,0.0,-0.02,0.04
MAHINDCIE,2016-11-23,2016-12-06,187.47,0.02,184.2,188.85,0.02,0.0,-0.02,0.07
WABAG,2016-11-23,2016-12-06,494.1,0.01,478.05,489.9,0.02,0.0,-0.02,0.04
RCOM,2016-11-23,2016-12-06,35.92,0.03,35.65,36.2,0.02,0.0,-0.05,0.03
WIPRO,2016-11-23,2016-12-06,459.85,0.01,448.9,457.8,0.02,0.0,-0.02,0.03
GUJGASLTD,2016-11-23,2016-12-06,535.27,0.01,526.15,538.2,0.02,0.0,-0.01,0.02
GREAVESCOT,2016-11-23,2016-12-06,126.1,0.01,123.7,126.2,0.02,0.0,-0.02,0.02
BHEL,2016-11-23,2016-12-06,127.56,0.01,125.1,128.1,0.02,0.0,-0.01,0.02
JBCHEPHARM,2016-11-23,2016-12-06,346.32,0.01,341.55,347.45,0.02,0.0,-0.02,0.03
JPPOWER,2016-11-23,2016-12-06,4.04,0.02,4.0,4.1,0.02,0.0,-0.03,0.03
GREENPLY,2016-11-23,2016-12-06,257.55,0.02,251.9,256.35,0.02,0.0,-0.02,0.03
INDHOTEL,2016-11-23,2016-12-06,99.2,0.02,96.15,98.2,0.02,0.0,-0.03,0.04
INDUSINDBK,2016-11-23,2016-12-06,1068.33,0.02,1064.95,1082.7,0.02,0.0,-0.02,0.03
IIFL,2016-11-23,2016-12-06,262.15,0.02,257.4,263.05,0.02,0.0,-0.02,0.03
PERSISTENT,2016-11-23,2016-12-06,600.03,0.01,589.85,599.75,0.02,0.0,-0.02,0.01
OMAXE,2016-11-23,2016-12-06,158.77,0.01,156.8,159.7,0.02,0.0,-0.01,0.02
OIL,2016-11-23,2016-12-06,572.57,0.02,569.6,582.53,0.02,0.0,-0.03,0.03
IGARASHI,2016-11-23,2016-12-06,719.25,0.02,719.15,730.5,0.02,0.0,-0.03,0.02
CYIENT,2016-11-23,2016-12-06,492.41,0.01,486.7,496.3,0.02,0.0,-0.01,0.01
IOB,2016-11-23,2016-12-06,24.96,0.01,24.65,25.2,0.02,0.0,-0.01,0.01
CUMMINSIND,2016-11-23,2016-12-06,772.63,0.02,762.95,777.8,0.02,0.0,-0.02,0.02
PETRONET,2016-11-23,2016-12-06,376.53,0.02,376.6,383.05,0.02,0.0,-0.02,0.05
ITC,2016-11-23,2016-12-06,229.89,0.02,224.65,230.2,0.02,0.0,-0.02,0.02
COFFEEDAY,2016-11-23,2016-12-06,204.13,0.01,200.65,203.75,0.02,0.0,-0.02,0.02
PFC,2016-11-23,2016-12-06,130.7,0.02,126.95,129.85,0.02,0.0,-0.02,0.04
IRB,2016-11-23,2016-12-06,187.14,0.01,183.3,187.15,0.02,0.0,-0.01,0.02
NTPC,2016-11-23,2016-12-06,161.8,0.01,159.85,163.1,0.02,0.0,-0.02,0.03
DRREDDY,2016-11-23,2016-12-06,3175.01,0.01,3128.6,3195.9,0.02,0.0,-0.02,0.02
DYNAMATECH,2016-11-23,2016-12-06,2968.31,0.02,2902.6,2952.2,0.02,0.0,-0.02,0.03
IDEA,2016-11-23,2016-12-06,74.38,0.03,72.9,74.4,0.02,0.0,-0.06,0.04
CAPF,2016-11-23,2016-12-06,544.03,0.03,527.65,540.95,0.02,0.0,-0.04,0.07
JISLJALEQS,2016-11-23,2016-12-06,87.29,0.02,85.2,86.95,0.02,0.0,-0.02,0.05
PGHH,2016-11-23,2016-12-06,6604.94,0.01,6556.55,6691.8,0.02,0.0,-0.01,0.02
ECLERX,2016-11-23,2016-12-06,1489.76,0.02,1459.75,1486.75,0.02,0.0,-0.02,0.03
SUNPHARMA,2016-11-23,2016-12-06,709.05,0.02,701.3,706.15,0.01,0.0,-0.03,0.05
TCS,2016-11-23,2016-12-06,2231.73,0.02,2156.35,2182.35,0.01,0.0,-0.02,0.05
MPHASIS,2016-11-23,2016-12-06,518.78,0.01,509.8,517.1,0.01,0.0,-0.02,0.02
POWERGRID,2016-11-23,2016-12-06,186.33,0.02,181.65,182.9,0.01,0.0,-0.04,0.02
MUTHOOTFIN,2016-11-23,2016-12-06,295.87,0.03,296.3,298.15,0.01,0.0,-0.03,0.08
SBBJ,2016-11-23,2016-12-06,705.52,0.01,703.1,711.85,0.01,0.0,-0.03,0.02
ORIENTBANK,2016-11-23,2016-12-06,118.27,0.02,118.0,118.6,0.01,0.0,-0.03,0.03
THOMASCOOK,2016-11-23,2016-12-06,189.53,0.01,187.4,189.0,0.01,0.0,-0.02,0.03
SBT,2016-11-23,2016-12-06,555.09,0.01,553.8,559.6,0.01,0.0,-0.03,0.02
VRLLOG,2016-11-23,2016-12-06,266.76,0.02,262.05,263.85,0.01,0.0,-0.04,0.02
MYSOREBANK,2016-11-23,2016-12-06,554.79,0.01,553.4,559.0,0.01,0.0,-0.03,0.03
NATCOPHARM,2016-11-23,2016-12-06,597.45,0.01,588.7,596.6,0.01,0.0,-0.02,0.03
TORNTPHARM,2016-11-23,2016-12-06,1366.35,0.02,1338.4,1346.25,0.01,0.0,-0.03,0.03
SCHNEIDER,2016-11-23,2016-12-06,142.82,0.02,141.0,142.4,0.01,0.0,-0.05,0.03
SOLARINDS,2016-11-23,2016-12-06,655.04,0.02,652.95,656.6,0.01,0.0,-0.03,0.05
TTKPRESTIG,2016-11-23,2016-12-06,5183.96,0.01,5157.7,5201.4,0.01,0.0,-0.01,0.02
NLCINDIA,2016-11-23,2016-12-06,77.39,0.01,76.9,77.7,0.01,0.0,-0.02,0.03
TATACOMM,2016-11-23,2016-12-06,644.44,0.02,635.5,638.85,0.01,0.0,-0.06,0.04
SYNDIBANK,2016-11-23,2016-12-06,66.37,0.01,66.2,66.6,0.01,0.0,-0.01,0.02
PEL,2016-11-23,2016-12-06,1656.33,0.02,1653.75,1678.6,0.01,0.0,-0.04,0.03
3MINDIA,2016-11-23,2016-12-06,11238.33,0.01,11084.1,11145.7,0.01,0.0,-0.01,0.01
MINDTREE,2016-11-23,2016-12-06,465.86,0.02,453.5,459.8,0.01,0.0,-0.03,0.03
KALPATPOWR,2016-11-23,2016-12-06,238.19,0.01,233.8,236.8,0.01,0.0,-0.02,0.02
BRITANNIA,2016-11-23,2016-12-06,2993.21,0.01,2967.75,3004.45,0.01,0.0,-0.02,0.03
CADILAHC,2016-11-23,2016-12-06,399.14,0.02,392.05,394.15,0.01,0.0,-0.03,0.02
CASTROLIND,2016-11-23,2016-12-06,396.75,0.02,393.25,398.0,0.01,0.0,-0.02,0.03
COROMANDEL,2016-11-23,2016-12-06,254.41,0.02,252.4,255.25,0.01,0.0,-0.04,0.04
IGL,2016-11-23,2016-12-06,829.55,0.01,827.95,832.5,0.01,0.0,-0.03,0.02
DREDGECORP,2016-11-23,2016-12-06,398.41,0.03,378.6,380.8,0.01,0.0,-0.07,0.05
EXIDEIND,2016-11-23,2016-12-06,176.45,0.02,175.0,177.3,0.01,0.0,-0.02,0.03
HONAUT,2016-11-23,2016-12-06,8497.03,0.01,8446.8,8489.7,0.01,0.0,-0.01,0.01
HINDUNILVR,2016-11-23,2016-12-06,836.56,0.01,831.7,836.0,0.01,0.0,-0.02,0.02
GATI,2016-11-23,2016-12-06,120.21,0.02,117.7,118.4,0.01,0.0,-0.02,0.03
GAYAPROJ,2016-11-23,2016-12-06,621.4,0.01,615.45,621.55,0.01,0.0,-0.02,0.03
HINDALCO,2016-11-23,2016-12-06,175.44,0.02,173.7,175.4,0.01,0.0,-0.03,0.04
HDFCBANK,2016-11-23,2016-12-06,1187.95,0.01,1184.75,1194.45,0.01,0.0,-0.02,0.02
HDFC,2016-11-23,2016-12-06,1241.99,0.02,1226.9,1243.4,0.01,0.0,-0.03,0.02
HAVELLS,2016-11-23,2016-12-06,335.46,0.02,327.4,332.1,0.01,0.0,-0.03,0.03
GRINDWELL,2016-11-23,2016-12-06,325.93,0.03,321.8,326.55,0.01,0.0,-0.03,0.05
GRUH,2016-11-23,2016-12-06,306.61,0.02,302.75,306.35,0.01,0.0,-0.03,0.03
INGERRAND,2016-11-23,2016-12-06,669.01,0.01,654.6,662.45,0.01,0.0,-0.02,0.02
COALINDIA,2016-11-23,2016-12-06,305.38,0.01,304.05,305.7,0.01,0.0,-0.01,0.01
BAJAJHLDNG,2016-11-23,2016-12-06,2055.07,0.03,1999.8,2027.1,0.01,0.0,-0.04,0.06
LAXMIMACH,2016-11-23,2016-12-06,3872.28,0.01,3817.85,3864.75,0.01,0.0,-0.02,0.02
AARTIIND,2016-11-23,2016-12-06,719.08,0.01,710.15,714.7,0.01,0.0,-0.02,0.02
ASHOKLEY,2016-11-23,2016-12-06,77.49,0.02,77.2,78.05,0.01,0.0,-0.04,0.03
ALBK,2016-11-23,2016-12-06,67.9,0.01,67.35,68.0,0.01,0.0,-0.02,0.03
ANDHRABANK,2016-11-23,2016-12-06,51.4,0.01,51.4,51.55,0.0,0.0,-0.01,0.02
ARVIND,2016-11-23,2016-12-06,351.14,0.02,345.1,344.4,-0.0,-0.0,-0.04,0.05
FAGBEARING,2016-11-23,2016-12-06,4043.03,0.01,4052.15,4047.05,-0.0,-0.0,-0.01,0.01
SIMPLEXINF,2016-11-23,2016-12-06,298.47,0.03,292.4,292.05,-0.0,-0.0,-0.02,0.07
FEDERALBNK,2016-11-23,2016-12-06,69.41,0.02,69.6,69.85,0.0,0.0,-0.02,0.04
MONSANTO,2016-11-23,2016-12-06,2267.47,0.0,2262.7,2259.25,-0.0,-0.0,-0.01,0.01
