Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
CEATLTD,2016-11-01,2016-11-07,1221.11,0.03,1248.4,1220.3,-0.02,-0.01,-0.04,0.02
PGHH,2016-11-01,2016-11-07,7039.79,0.01,7049.6,6912.1,-0.02,-0.0,-0.01,0.02
CUMMINSIND,2016-11-01,2016-11-07,840.13,0.01,852.75,838.7,-0.02,-0.0,-0.01,0.01
TORNTPHARM,2016-11-01,2016-11-07,1333.74,0.02,1379.65,1333.3,-0.03,-0.01,-0.03,0.03
IPAPPM,2016-11-01,2016-11-07,299.84,0.02,304.2,294.45,-0.03,-0.01,-0.03,0.01
IOC,2016-11-01,2016-11-07,314.55,0.02,325.15,315.75,-0.03,-0.01,-0.03,0.03
TNPL,2016-11-01,2016-11-07,370.69,0.02,381.55,368.45,-0.03,-0.01,-0.03,0.02
IGARASHI,2016-11-01,2016-11-07,781.35,0.02,804.85,778.9,-0.03,-0.01,-0.02,0.01
TIMKEN,2016-11-01,2016-11-07,568.72,0.02,578.95,561.75,-0.03,-0.01,-0.03,0.01
PAGEIND,2016-11-01,2016-11-07,15967.46,0.01,16354.7,15912.2,-0.03,-0.01,-0.03,0.01
INGERRAND,2016-11-01,2016-11-07,712.58,0.01,726.1,707.55,-0.03,-0.01,-0.02,0.01
PCJEWELLER,2016-11-01,2016-11-07,484.17,0.02,497.7,481.95,-0.03,-0.01,-0.03,0.02
OIL,2016-11-01,2016-11-07,545.76,0.01,557.33,543.4,-0.03,-0.01,-0.02,0.01
VINATIORGA,2016-11-01,2016-11-07,586.72,0.02,591.45,575.95,-0.03,-0.01,-0.04,0.02
MRPL,2016-11-01,2016-11-07,89.98,0.01,91.35,88.95,-0.03,-0.01,-0.01,0.0
YESBANK,2016-11-01,2016-11-07,1214.27,0.02,1249.45,1207.35,-0.03,-0.01,-0.03,0.01
NBCC,2016-11-01,2016-11-07,235.64,0.02,240.7,234.4,-0.03,-0.01,-0.03,0.03
INDHOTEL,2016-11-01,2016-11-07,113.48,0.03,117.05,113.8,-0.03,-0.01,-0.05,0.03
IIFL,2016-11-01,2016-11-07,312.1,0.02,315.75,306.0,-0.03,-0.01,-0.04,0.01
TCS,2016-11-01,2016-11-07,2316.22,0.01,2350.0,2277.05,-0.03,-0.01,-0.02,0.01
RDEL,2016-11-01,2016-11-07,57.89,0.03,59.55,57.55,-0.03,-0.01,-0.04,0.03
JCHAC,2016-11-01,2016-11-07,1471.27,0.02,1482.2,1436.55,-0.03,-0.01,-0.03,0.02
SUPRAJIT,2016-11-01,2016-11-07,208.05,0.02,211.95,204.7,-0.03,-0.01,-0.03,0.01
RCOM,2016-11-01,2016-11-07,45.65,0.02,46.5,45.0,-0.03,-0.01,-0.05,0.02
RUCHISOYA,2016-11-01,2016-11-07,22.79,0.01,23.2,22.6,-0.03,-0.01,-0.02,0.01
SAIL,2016-11-01,2016-11-07,51.14,0.02,52.3,51.0,-0.03,-0.01,-0.02,0.02
KRBL,2016-11-01,2016-11-07,239.68,0.01,244.9,236.6,-0.03,-0.01,-0.02,0.01
MAHLIFE,2016-11-01,2016-11-07,418.06,0.02,429.85,418.95,-0.03,-0.01,-0.02,0.03
MANAPPURAM,2016-11-01,2016-11-07,100.08,0.02,102.7,99.4,-0.03,-0.01,-0.03,0.01
RADICO,2016-11-01,2016-11-07,140.74,0.03,145.85,141.65,-0.03,-0.01,-0.05,0.02
KARURVYSYA,2016-11-01,2016-11-07,473.15,0.01,482.8,467.7,-0.03,-0.01,-0.02,-0.0
PRISMCEM,2016-11-01,2016-11-07,104.29,0.01,106.35,103.0,-0.03,-0.01,-0.03,0.01
SMLISUZU,2016-11-01,2016-11-07,1291.75,0.01,1323.65,1281.8,-0.03,-0.01,-0.02,0.01
KALPATPOWR,2016-11-01,2016-11-07,247.27,0.01,253.9,245.95,-0.03,-0.01,-0.02,0.01
SOLARINDS,2016-11-01,2016-11-07,681.65,0.01,692.65,673.6,-0.03,-0.01,-0.02,0.01
MARUTI,2016-11-01,2016-11-07,5779.81,0.01,5878.1,5715.95,-0.03,-0.01,-0.02,0.0
SOUTHBANK,2016-11-01,2016-11-07,23.03,0.02,23.7,23.0,-0.03,-0.01,-0.03,0.02
MERCK,2016-11-01,2016-11-07,813.12,0.02,834.9,810.25,-0.03,-0.01,-0.02,0.02
JKCEMENT,2016-11-01,2016-11-07,893.75,0.03,924.95,901.3,-0.03,-0.01,-0.03,0.05
STCINDIA,2016-11-01,2016-11-07,131.85,0.04,132.3,128.55,-0.03,-0.01,-0.06,0.04
SUNTV,2016-11-01,2016-11-07,531.15,0.01,543.0,528.4,-0.03,-0.01,-0.02,0.01
RELCAPITAL,2016-11-01,2016-11-07,506.83,0.02,520.7,507.3,-0.03,-0.01,-0.03,0.02
JISLJALEQS,2016-11-01,2016-11-07,101.19,0.02,104.05,101.2,-0.03,-0.01,-0.02,0.03
3MINDIA,2016-11-01,2016-11-07,12960.9,0.01,13180.2,12822.8,-0.03,-0.01,-0.02,0.01
DALMIABHA,2016-11-01,2016-11-07,2033.21,0.02,2082.3,2024.65,-0.03,-0.01,-0.02,0.02
BRIGADE,2016-11-01,2016-11-07,178.54,0.01,180.1,175.3,-0.03,-0.01,-0.02,0.01
GODREJCP,2016-11-01,2016-11-07,1543.81,0.01,1573.7,1520.75,-0.03,-0.01,-0.02,-0.0
APLLTD,2016-11-01,2016-11-07,667.01,0.01,674.3,656.95,-0.03,-0.01,-0.03,0.01
GODFRYPHLP,2016-11-01,2016-11-07,1401.22,0.01,1415.9,1377.0,-0.03,-0.01,-0.02,0.01
EIHOTEL,2016-11-01,2016-11-07,108.86,0.01,111.2,108.05,-0.03,-0.01,-0.02,0.0
COALINDIA,2016-11-01,2016-11-07,324.04,0.02,330.05,319.3,-0.03,-0.01,-0.03,0.01
COFFEEDAY,2016-11-01,2016-11-07,220.81,0.01,224.25,218.05,-0.03,-0.01,-0.02,0.0
BALRAMCHIN,2016-11-01,2016-11-07,109.13,0.03,112.75,109.75,-0.03,-0.01,-0.04,0.05
BALMLAWRIE,2016-11-01,2016-11-07,3098.72,0.01,3155.6,3072.2,-0.03,-0.01,-0.02,0.01
BIOCON,2016-11-01,2016-11-07,903.53,0.02,925.05,898.1,-0.03,-0.01,-0.03,0.02
GUJGASLTD,2016-11-01,2016-11-07,558.55,0.01,575.0,556.5,-0.03,-0.01,-0.03,0.01
ARVIND,2016-11-01,2016-11-07,407.42,0.01,415.8,404.95,-0.03,-0.01,-0.02,0.02
CARBORUNIV,2016-11-01,2016-11-07,270.98,0.02,280.05,271.25,-0.03,-0.01,-0.03,0.02
HMVL,2016-11-01,2016-11-07,297.79,0.01,302.85,294.65,-0.03,-0.01,-0.02,0.01
BAJAJHLDNG,2016-11-01,2016-11-07,2180.12,0.01,2190.7,2122.4,-0.03,-0.01,-0.03,0.01
AEGISCHEM,2016-11-01,2016-11-07,155.9,0.03,157.95,153.35,-0.03,-0.01,-0.04,0.04
FLFL,2016-11-01,2016-11-07,142.8,0.02,145.45,141.0,-0.03,-0.01,-0.04,0.01
GREENPLY,2016-11-01,2016-11-07,294.74,0.01,302.25,292.95,-0.03,-0.01,-0.02,0.01
FINPIPE,2016-11-01,2016-11-07,450.0,0.01,457.3,445.85,-0.03,-0.01,-0.02,0.0
FINCABLES,2016-11-01,2016-11-07,437.69,0.01,446.05,430.95,-0.03,-0.01,-0.02,-0.0
DREDGECORP,2016-11-01,2016-11-07,407.01,0.02,411.2,399.5,-0.03,-0.01,-0.03,0.02
HDFC,2016-11-01,2016-11-07,1398.14,0.0,1417.2,1381.4,-0.03,-0.01,-0.01,-0.0
GREAVESCOT,2016-11-01,2016-11-07,136.39,0.01,140.25,134.3,-0.04,-0.01,-0.02,-0.0
BALKRISIND,2016-11-01,2016-11-07,1022.13,0.03,1048.55,1005.85,-0.04,-0.01,-0.05,0.03
KSBPUMPS,2016-11-01,2016-11-07,594.22,0.01,603.05,582.0,-0.04,-0.01,-0.02,0.01
CENTRALBK,2016-11-01,2016-11-07,90.08,0.01,91.3,87.75,-0.04,-0.01,-0.03,0.0
GRINDWELL,2016-11-01,2016-11-07,326.97,0.01,334.2,322.5,-0.04,-0.01,-0.03,0.01
BAJAJHIND,2016-11-01,2016-11-07,16.35,0.02,16.75,16.05,-0.04,-0.01,-0.04,0.01
SYMPHONY,2016-11-01,2016-11-07,1305.85,0.01,1337.05,1283.75,-0.04,-0.01,-0.03,0.01
BHARTIARTL,2016-11-01,2016-11-07,309.66,0.01,317.45,305.6,-0.04,-0.01,-0.03,-0.0
BEML,2016-11-01,2016-11-07,899.25,0.01,924.9,887.45,-0.04,-0.01,-0.03,0.01
SNOWMAN,2016-11-01,2016-11-07,63.23,0.02,64.0,61.6,-0.04,-0.01,-0.05,0.01
BHARATFIN,2016-11-01,2016-11-07,823.57,0.03,852.2,818.8,-0.04,-0.01,-0.04,0.03
CHOLAFIN,2016-11-01,2016-11-07,1140.07,0.01,1166.45,1116.7,-0.04,-0.01,-0.02,-0.0
BHUSANSTL,2016-11-01,2016-11-07,44.29,0.02,45.65,43.9,-0.04,-0.01,-0.03,0.02
CASTROLIND,2016-11-01,2016-11-07,436.96,0.02,452.15,434.35,-0.04,-0.01,-0.04,0.01
REDINGTON,2016-11-01,2016-11-07,100.9,0.02,104.05,100.2,-0.04,-0.01,-0.03,0.03
BLUESTARCO,2016-11-01,2016-11-07,550.73,0.01,564.75,541.75,-0.04,-0.01,-0.02,0.01
BOSCHLTD,2016-11-01,2016-11-07,21687.38,0.01,22314.2,21422.6,-0.04,-0.01,-0.03,0.0
CANBK,2016-11-01,2016-11-07,298.04,0.03,311.65,299.05,-0.04,-0.01,-0.06,0.03
SADBHAV,2016-11-01,2016-11-07,269.06,0.01,276.9,267.35,-0.04,-0.01,-0.03,0.01
MHRIL,2016-11-01,2016-11-07,442.18,0.01,455.9,440.15,-0.04,-0.01,-0.03,0.01
FDC,2016-11-01,2016-11-07,220.67,0.01,225.3,216.85,-0.04,-0.01,-0.03,0.01
ROLTA,2016-11-01,2016-11-07,61.17,0.01,62.65,60.4,-0.04,-0.01,-0.02,0.01
RENUKA,2016-11-01,2016-11-07,15.17,0.02,15.65,15.0,-0.04,-0.01,-0.03,0.02
KAJARIACER,2016-11-01,2016-11-07,617.42,0.02,638.35,613.4,-0.04,-0.01,-0.02,0.02
JUBLFOOD,2016-11-01,2016-11-07,972.91,0.01,999.35,963.3,-0.04,-0.01,-0.02,0.0
TATAPOWER,2016-11-01,2016-11-07,76.37,0.01,78.15,75.35,-0.04,-0.01,-0.03,0.01
TVSMOTOR,2016-11-01,2016-11-07,395.88,0.01,403.75,389.65,-0.04,-0.01,-0.02,0.0
IRB,2016-11-01,2016-11-07,224.91,0.02,233.1,223.4,-0.04,-0.01,-0.03,0.02
AJANTPHARM,2016-11-01,2016-11-07,1939.39,0.02,1998.95,1916.4,-0.04,-0.01,-0.04,0.02
VIPIND,2016-11-01,2016-11-07,138.05,0.03,143.85,138.35,-0.04,-0.01,-0.04,0.04
HINDPETRO,2016-11-01,2016-11-07,447.04,0.02,464.85,444.95,-0.04,-0.01,-0.04,0.02
IOB,2016-11-01,2016-11-07,25.91,0.01,26.65,25.5,-0.04,-0.01,-0.02,0.01
AIAENG,2016-11-01,2016-11-07,1270.41,0.01,1293.7,1238.55,-0.04,-0.01,-0.03,-0.0
PHOENIXLTD,2016-11-01,2016-11-07,376.6,0.01,381.55,368.35,-0.04,-0.01,-0.02,0.0
HINDZINC,2016-11-01,2016-11-07,265.47,0.02,272.55,262.45,-0.04,-0.01,-0.04,0.03
VTL,2016-11-01,2016-11-07,1109.83,0.01,1135.25,1091.75,-0.04,-0.01,-0.02,-0.0
OBEROIRLTY,2016-11-01,2016-11-07,352.84,0.03,356.85,342.65,-0.04,-0.01,-0.05,0.01
ICIL,2016-11-01,2016-11-07,784.13,0.03,818.1,784.9,-0.04,-0.01,-0.05,0.03
CORPBANK,2016-11-01,2016-11-07,40.9,0.01,42.2,40.4,-0.04,-0.01,-0.03,0.01
IDBI,2016-11-01,2016-11-07,70.27,0.02,72.85,70.25,-0.04,-0.01,-0.04,0.02
WHIRLPOOL,2016-11-01,2016-11-07,1127.09,0.01,1145.3,1100.7,-0.04,-0.01,-0.02,0.0
ADANIPORTS,2016-11-01,2016-11-07,294.89,0.02,305.15,293.5,-0.04,-0.01,-0.04,0.02
EVEREADY,2016-11-01,2016-11-07,251.76,0.02,259.7,250.75,-0.04,-0.01,-0.04,0.0
TVSSRICHAK,2016-11-01,2016-11-07,3769.24,0.01,3880.1,3716.8,-0.04,-0.01,-0.03,-0.0
JMFINANCIL,2016-11-01,2016-11-07,81.09,0.03,84.05,81.15,-0.04,-0.01,-0.04,0.03
ASIANPAINT,2016-11-01,2016-11-07,1051.4,0.01,1076.7,1037.35,-0.04,-0.01,-0.02,0.01
JSWSTEEL,2016-11-01,2016-11-07,16175.8,0.01,16629.0,16005.0,-0.04,-0.01,-0.02,0.01
TECHNO,2016-11-01,2016-11-07,306.0,0.01,314.5,301.7,-0.04,-0.01,-0.03,0.0
DLF,2016-11-01,2016-11-07,144.19,0.03,149.55,144.05,-0.04,-0.01,-0.03,0.03
ATUL,2016-11-01,2016-11-07,2219.6,0.01,2292.6,2196.5,-0.04,-0.01,-0.02,0.01
ASTRAL,2016-11-01,2016-11-07,436.11,0.02,451.55,433.0,-0.04,-0.01,-0.03,0.02
APARINDS,2016-11-01,2016-11-07,571.81,0.02,589.25,564.45,-0.04,-0.01,-0.03,0.01
MOTHERSUMI,2016-11-01,2016-11-07,316.64,0.03,328.75,315.65,-0.04,-0.01,-0.04,0.04
ASHOKA,2016-11-01,2016-11-07,161.19,0.02,167.05,159.75,-0.04,-0.01,-0.04,0.02
HAVELLS,2016-11-01,2016-11-07,398.05,0.02,407.3,392.3,-0.04,-0.01,-0.03,0.02
JINDALPOLY,2016-11-01,2016-11-07,411.88,0.01,423.25,408.05,-0.04,-0.01,-0.02,0.01
APOLLOHOSP,2016-11-01,2016-11-07,1296.95,0.01,1337.8,1280.55,-0.04,-0.01,-0.03,0.0
CENTURYTEX,2016-11-01,2016-11-07,991.59,0.01,1023.9,978.25,-0.05,-0.01,-0.03,0.0
CESC,2016-11-01,2016-11-07,606.16,0.03,628.6,596.35,-0.05,-0.01,-0.05,0.02
POLARIS,2016-11-01,2016-11-07,158.75,0.01,163.65,155.5,-0.05,-0.01,-0.02,-0.0
RECLTD,2016-11-01,2016-11-07,127.05,0.02,132.0,125.9,-0.05,-0.01,-0.03,0.02
PRESTIGE,2016-11-01,2016-11-07,185.74,0.02,192.0,182.1,-0.05,-0.01,-0.03,0.0
PNCINFRA,2016-11-01,2016-11-07,118.28,0.02,122.45,116.85,-0.05,-0.01,-0.03,0.02
RELIANCE,2016-11-01,2016-11-07,1021.08,0.01,1051.0,1001.15,-0.05,-0.01,-0.03,0.0
CIPLA,2016-11-01,2016-11-07,556.46,0.01,571.75,545.75,-0.05,-0.01,-0.03,0.0
CYIENT,2016-11-01,2016-11-07,470.27,0.02,485.15,459.55,-0.05,-0.01,-0.04,0.01
PEL,2016-11-01,2016-11-07,1669.18,0.03,1748.15,1664.3,-0.05,-0.01,-0.03,0.03
RAYMOND,2016-11-01,2016-11-07,626.76,0.01,643.05,611.45,-0.05,-0.01,-0.03,0.01
IFCI,2016-11-01,2016-11-07,24.95,0.02,25.9,24.55,-0.05,-0.01,-0.03,0.02
RIIL,2016-11-01,2016-11-07,405.06,0.02,418.35,398.4,-0.05,-0.01,-0.03,0.01
BAJAJELEC,2016-11-01,2016-11-07,255.39,0.01,260.85,249.35,-0.05,-0.01,-0.03,0.0
ZEELEARN,2016-11-01,2016-11-07,38.16,0.02,39.5,37.7,-0.05,-0.01,-0.03,0.02
WONDERLA,2016-11-01,2016-11-07,378.97,0.01,391.15,372.35,-0.05,-0.01,-0.03,-0.0
ADANIPOWER,2016-11-01,2016-11-07,26.22,0.02,27.15,25.8,-0.05,-0.01,-0.03,0.02
WELCORP,2016-11-01,2016-11-07,67.98,0.02,69.65,66.45,-0.05,-0.01,-0.04,0.01
VSTIND,2016-11-01,2016-11-07,2374.67,0.03,2462.6,2347.15,-0.05,-0.01,-0.04,0.03
VGUARD,2016-11-01,2016-11-07,206.11,0.03,214.7,204.4,-0.05,-0.01,-0.04,0.04
UCOBANK,2016-11-01,2016-11-07,33.61,0.01,34.65,33.0,-0.05,-0.01,-0.02,0.01
ANDHRABANK,2016-11-01,2016-11-07,53.96,0.02,56.3,53.5,-0.05,-0.01,-0.03,0.03
TIDEWATER,2016-11-01,2016-11-07,6057.55,0.01,6225.0,5950.15,-0.05,-0.01,-0.02,0.0
TEXRAIL,2016-11-01,2016-11-07,106.86,0.01,110.95,105.2,-0.05,-0.01,-0.02,0.01
AUROPHARMA,2016-11-01,2016-11-07,772.66,0.04,809.1,767.3,-0.05,-0.01,-0.06,0.05
TATAMOTORS,2016-11-01,2016-11-07,514.55,0.01,530.6,506.35,-0.05,-0.01,-0.03,0.0
CAPF,2016-11-01,2016-11-07,690.88,0.03,715.9,683.1,-0.05,-0.01,-0.05,0.04
SUNDARMFIN,2016-11-01,2016-11-07,1360.49,0.0,1397.1,1326.3,-0.05,-0.01,-0.02,-0.01
DBREALTY,2016-11-01,2016-11-07,46.55,0.02,48.15,45.85,-0.05,-0.01,-0.03,0.02
SRF,2016-11-01,2016-11-07,1741.88,0.02,1813.6,1719.0,-0.05,-0.01,-0.04,0.01
BANKINDIA,2016-11-01,2016-11-07,109.33,0.02,113.85,108.7,-0.05,-0.01,-0.04,0.02
BATAINDIA,2016-11-01,2016-11-07,466.2,0.02,483.85,460.65,-0.05,-0.01,-0.03,0.01
SOBHA,2016-11-01,2016-11-07,268.98,0.02,278.85,265.1,-0.05,-0.01,-0.02,0.02
SIEMENS,2016-11-01,2016-11-07,1134.79,0.01,1164.6,1107.15,-0.05,-0.01,-0.02,-0.0
SHOPERSTOP,2016-11-01,2016-11-07,358.46,0.01,366.8,350.05,-0.05,-0.01,-0.03,-0.0
SHK,2016-11-01,2016-11-07,311.56,0.02,321.25,306.95,-0.05,-0.01,-0.03,0.01
BOMDYEING,2016-11-01,2016-11-07,56.5,0.02,58.75,55.9,-0.05,-0.01,-0.03,0.03
RTNPOWER,2016-11-01,2016-11-07,8.18,0.01,8.45,8.0,-0.05,-0.01,-0.02,0.0
