,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
SBT,486,317,169,2016-12-27,2017-01-02,529.18,0.01,535.5,520.5,-0.03,-0.01,-0.02,0.01,2017-01-02,2017-01-06,519.5,0.0,520.5,522.05,0.0,0.0,-0.01,0.01
HEROMOTOCO,432,263,169,2016-12-27,2017-01-02,3029.42,0.01,3034.95,3030.55,-0.0,-0.0,-0.01,0.01,2017-01-02,2017-01-06,3032.26,0.01,3030.55,3067.55,0.01,0.0,-0.01,0.02
GLENMARK,469,302,167,2016-12-27,2017-01-02,889.64,0.01,890.2,884.0,-0.01,-0.0,-0.01,0.01,2017-01-02,2017-01-06,893.29,0.01,884.0,892.65,0.01,0.0,-0.01,0.01
RAJESHEXPO,181,19,162,2016-12-27,2017-01-02,456.73,0.0,447.3,466.2,0.04,0.01,0.01,0.01,2017-01-02,2017-01-06,488.41,0.02,466.2,504.75,0.08,0.02,-0.01,0.04
ABB,437,276,161,2016-12-27,2017-01-02,1035.01,0.01,1034.6,1036.9,0.0,0.0,-0.01,0.02,2017-01-02,2017-01-06,1040.2,0.01,1036.9,1044.35,0.01,0.0,-0.01,0.01
PFS,315,156,159,2016-12-27,2017-01-02,37.18,0.01,36.85,37.75,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,38.58,0.01,37.75,38.95,0.03,0.01,-0.01,0.02
APARINDS,243,86,157,2016-12-27,2017-01-02,573.08,0.0,567.15,581.8,0.03,0.01,-0.0,0.01,2017-01-02,2017-01-06,615.22,0.06,581.8,613.1,0.05,0.01,-0.06,0.1
SBBJ,476,322,154,2016-12-27,2017-01-02,674.33,0.01,679.15,666.95,-0.02,-0.0,-0.02,0.01,2017-01-02,2017-01-06,665.08,0.0,666.95,667.8,0.0,0.0,-0.01,0.01
NHPC,359,206,153,2016-12-27,2017-01-02,26.5,0.01,26.35,26.8,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,27.25,0.01,26.8,27.25,0.02,0.0,-0.01,0.02
ALBK,264,112,152,2016-12-27,2017-01-02,59.68,0.01,59.2,60.9,0.03,0.01,-0.01,0.01,2017-01-02,2017-01-06,62.34,0.01,60.9,63.3,0.04,0.01,-0.0,0.02
RPOWER,235,83,152,2016-12-27,2017-01-02,40.74,0.01,40.1,41.9,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,42.7,0.01,41.9,43.9,0.05,0.01,0.0,0.02
PUNJLLOYD,246,96,150,2016-12-27,2017-01-02,18.7,0.01,18.5,19.1,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,19.65,0.02,19.1,19.9,0.04,0.01,-0.02,0.04
ASHOKLEY,230,80,150,2016-12-27,2017-01-02,79.28,0.0,78.05,81.0,0.04,0.01,0.0,0.01,2017-01-02,2017-01-06,83.03,0.01,81.0,85.3,0.05,0.01,0.0,0.03
STAR,323,174,149,2016-12-27,2017-01-02,1053.93,0.02,1043.25,1068.45,0.02,0.01,-0.01,0.03,2017-01-02,2017-01-06,1076.82,0.02,1068.45,1098.85,0.03,0.01,-0.02,0.02
VEDL,277,129,148,2016-12-27,2017-01-02,216.13,0.02,214.65,220.95,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,223.13,0.02,220.95,230.6,0.04,0.01,-0.01,0.05
LAXMIMACH,444,297,147,2016-12-27,2017-01-02,3940.29,0.01,3932.95,3934.7,0.0,0.0,-0.01,0.01,2017-01-02,2017-01-06,3996.25,0.01,3934.7,3987.6,0.01,0.0,-0.0,0.02
SHK,251,104,147,2016-12-27,2017-01-02,304.09,0.01,296.35,306.45,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,317.65,0.05,306.45,317.6,0.04,0.01,-0.04,0.09
ALKEM,382,239,143,2016-12-27,2017-01-02,1619.79,0.0,1607.55,1622.25,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,1653.32,0.01,1622.25,1659.9,0.02,0.01,-0.0,0.02
ZEEL,305,162,143,2016-12-27,2017-01-02,446.33,0.01,436.3,451.6,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,460.46,0.02,451.6,463.1,0.03,0.01,-0.02,0.03
ENGINERSIN,488,352,136,2016-12-27,2017-01-02,224.67,0.29,318.85,153.45,-0.73,-0.18,-0.68,0.04,2017-01-02,2017-01-06,153.96,0.01,153.45,152.95,-0.0,-0.0,-0.01,0.01
HDFC,459,324,135,2016-12-27,2017-01-02,1241.4,0.02,1232.15,1217.1,-0.01,-0.0,-0.04,0.02,2017-01-02,2017-01-06,1216.55,0.0,1217.1,1222.35,0.0,0.0,-0.0,0.0
MAYURUNIQ,446,313,133,2016-12-27,2017-01-02,340.43,0.0,341.05,340.95,-0.0,-0.0,-0.0,0.0,2017-01-02,2017-01-06,342.63,0.0,340.95,342.95,0.01,0.0,-0.0,0.01
AMARAJABAT,249,116,133,2016-12-27,2017-01-02,876.17,0.01,869.6,896.6,0.03,0.01,-0.0,0.03,2017-01-02,2017-01-06,907.5,0.01,896.6,930.4,0.04,0.01,-0.01,0.02
MYSOREBANK,481,350,131,2016-12-27,2017-01-02,530.28,0.01,535.1,523.1,-0.02,-0.01,-0.02,0.01,2017-01-02,2017-01-06,521.67,0.0,523.1,524.4,0.0,0.0,-0.0,0.01
ORIENTBANK,326,196,130,2016-12-27,2017-01-02,104.89,0.02,105.15,106.8,0.02,0.0,-0.01,0.03,2017-01-02,2017-01-06,108.29,0.01,106.8,110.2,0.03,0.01,-0.01,0.03
SHARDACROP,217,87,130,2016-12-27,2017-01-02,443.16,0.01,434.45,452.4,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,475.41,0.03,452.4,474.1,0.05,0.01,-0.02,0.06
SOLARINDS,290,164,126,2016-12-27,2017-01-02,669.71,0.01,661.95,680.6,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,704.87,0.02,680.6,702.15,0.03,0.01,-0.02,0.05
RCF,130,5,125,2016-12-27,2017-01-02,46.38,0.01,45.1,47.95,0.06,0.02,0.0,0.03,2017-01-02,2017-01-06,50.7,0.02,47.95,54.55,0.13,0.03,-0.0,0.06
KOTAKBANK,453,328,125,2016-12-27,2017-01-02,714.62,0.01,712.15,714.8,0.0,0.0,-0.01,0.01,2017-01-02,2017-01-06,707.59,0.02,714.8,716.85,0.0,0.0,-0.02,0.03
WHIRLPOOL,276,155,121,2016-12-27,2017-01-02,879.68,0.01,869.55,894.05,0.03,0.01,0.0,0.01,2017-01-02,2017-01-06,926.03,0.02,894.05,920.4,0.03,0.01,-0.02,0.04
SPARC,385,265,120,2016-12-27,2017-01-02,301.71,0.01,301.65,304.15,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,307.05,0.01,304.15,307.2,0.01,0.0,-0.01,0.02
ZEELEARN,134,15,119,2016-12-27,2017-01-02,38.73,0.01,37.95,39.9,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,42.23,0.02,39.9,43.55,0.09,0.02,-0.01,0.05
TVSSRICHAK,431,312,119,2016-12-27,2017-01-02,3202.22,0.0,3201.25,3199.7,-0.0,-0.0,-0.0,0.01,2017-01-02,2017-01-06,3274.05,0.04,3199.7,3245.25,0.01,0.0,-0.04,0.06
BANKINDIA,298,181,117,2016-12-27,2017-01-02,105.81,0.01,104.75,107.45,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,108.72,0.01,107.45,110.55,0.03,0.01,-0.01,0.02
BHEL,256,139,117,2016-12-27,2017-01-02,120.21,0.01,119.25,122.5,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,125.75,0.01,122.5,126.4,0.03,0.01,-0.01,0.02
KPRMILL,206,90,116,2016-11-22,2016-11-28,1116.43,0.03,1081.85,1129.9,0.04,0.01,-0.02,0.04,2016-11-22,2016-11-28,1116.43,0.03,1081.85,1129.9,0.04,0.01,-0.02,0.04
CENTURYTEX,374,258,116,2016-12-27,2017-01-02,799.16,0.02,798.35,816.1,0.02,0.01,-0.02,0.02,2017-01-02,2017-01-06,828.36,0.02,816.1,823.1,0.01,0.0,-0.02,0.03
AMTEKAUTO,263,149,114,2016-12-27,2017-01-02,32.5,0.01,32.4,33.3,0.03,0.01,-0.0,0.03,2017-01-02,2017-01-06,33.86,0.0,33.3,34.45,0.03,0.01,0.0,0.02
IDBI,274,160,114,2016-12-27,2017-01-02,68.35,0.02,67.0,69.0,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,70.23,0.01,69.0,71.1,0.03,0.01,-0.0,0.02
TVSMOTOR,189,75,114,2016-12-27,2017-01-02,359.58,0.02,351.65,367.65,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,378.44,0.01,367.65,387.1,0.05,0.01,-0.01,0.03
JMFINANCIL,266,153,113,2016-12-27,2017-01-02,66.24,0.01,65.6,67.7,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,69.17,0.01,67.7,69.55,0.03,0.01,-0.01,0.02
BHUSANSTL,254,141,113,2016-12-27,2017-01-02,40.17,0.01,39.65,40.85,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,41.5,0.01,40.85,41.95,0.03,0.01,-0.01,0.02
RAMCOSYS,159,51,108,2016-12-27,2017-01-02,336.75,0.02,332.45,349.4,0.05,0.01,-0.0,0.05,2017-01-02,2017-01-06,367.21,0.04,349.4,372.55,0.06,0.02,-0.03,0.09
CARBORUNIV,363,255,108,2016-12-27,2017-01-02,245.96,0.01,245.45,250.35,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,252.64,0.01,250.35,253.55,0.01,0.0,-0.01,0.02
ABFRL,436,329,107,2016-12-27,2017-01-02,220.35,0.0,220.35,220.35,0.0,0.0,0.0,0.0,2017-01-02,2017-01-06,220.35,0.0,220.35,220.35,0.0,0.0,0.0,0.0
DCMSHRIRAM,114,7,107,2016-12-27,2017-01-02,210.32,0.0,204.5,217.35,0.06,0.02,0.01,0.02,2017-01-02,2017-01-06,224.64,0.03,217.35,239.45,0.1,0.02,-0.02,0.06
SEQUENT,139,33,106,2016-12-27,2017-01-02,110.64,0.02,109.15,114.7,0.05,0.01,-0.0,0.04,2017-01-02,2017-01-06,118.04,0.02,114.7,123.0,0.07,0.02,0.0,0.04
TATAPOWER,355,250,105,2016-12-27,2017-01-02,74.79,0.01,73.6,75.4,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,76.16,0.0,75.4,77.1,0.02,0.01,0.0,0.01
GUJFLUORO,419,314,105,2016-12-27,2017-01-02,468.41,0.01,466.85,471.65,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,476.04,0.02,471.65,475.95,0.01,0.0,-0.02,0.02
JUSTDIAL,129,24,105,2016-12-27,2017-01-02,332.7,0.01,324.1,345.85,0.06,0.02,-0.01,0.03,2017-01-02,2017-01-06,361.74,0.07,345.85,376.05,0.08,0.02,-0.05,0.14
PRESTIGE,320,215,105,2016-12-27,2017-01-02,168.27,0.01,165.45,169.0,0.02,0.01,-0.01,0.01,2017-01-02,2017-01-06,171.07,0.01,169.0,172.3,0.02,0.0,-0.01,0.01
PIIND,317,212,105,2016-12-27,2017-01-02,817.91,0.01,808.3,826.85,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,832.0,0.0,826.85,841.5,0.02,0.0,0.0,0.01
HDFCBANK,427,323,104,2016-12-27,2017-01-02,1196.09,0.01,1185.2,1197.1,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,1190.47,0.0,1197.1,1193.65,-0.0,-0.0,-0.01,0.01
GVKPIL,220,117,103,2016-12-27,2017-01-02,5.4,0.01,5.35,5.55,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,5.71,0.04,5.55,5.75,0.04,0.01,-0.02,0.07
VSTIND,375,272,103,2016-12-27,2017-01-02,2373.03,0.02,2380.6,2400.55,0.01,0.0,-0.03,0.02,2017-01-02,2017-01-06,2403.3,0.0,2400.55,2414.15,0.01,0.0,-0.0,0.01
MOIL,123,21,102,2016-12-27,2017-01-02,355.9,0.01,346.6,368.6,0.06,0.02,0.0,0.02,2017-01-02,2017-01-06,382.44,0.02,368.6,401.25,0.08,0.02,-0.0,0.05
ANDHRABANK,381,282,99,2016-12-27,2017-01-02,47.32,0.01,47.25,47.7,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,47.96,0.01,47.7,48.3,0.01,0.0,-0.0,0.01
GESHIP,172,73,99,2016-12-27,2017-01-02,358.57,0.0,349.95,366.4,0.05,0.01,0.01,0.02,2017-01-02,2017-01-06,375.95,0.0,366.4,384.8,0.05,0.01,0.01,0.02
EROSMEDIA,269,171,98,2016-12-27,2017-01-02,162.04,0.02,159.6,164.15,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,169.6,0.02,164.15,169.85,0.03,0.01,-0.02,0.03
IGARASHI,343,246,97,2016-12-27,2017-01-02,705.9,0.0,700.55,711.65,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,725.56,0.01,711.65,727.05,0.02,0.01,-0.01,0.02
GLAXO,416,321,95,2016-12-27,2017-01-02,2718.42,0.0,2701.75,2730.5,0.01,0.0,0.0,0.01,2017-01-02,2017-01-06,2737.9,0.0,2730.5,2726.15,-0.0,-0.0,-0.0,0.01
DRREDDY,337,242,95,2016-12-27,2017-01-02,3062.91,0.01,3034.95,3083.4,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,3108.5,0.01,3083.4,3159.15,0.02,0.01,-0.0,0.01
LICHSGFIN,483,390,93,2016-12-27,2017-01-02,546.67,0.03,538.85,530.1,-0.02,-0.0,-0.05,0.02,2017-01-02,2017-01-06,525.21,0.01,530.1,524.6,-0.01,-0.0,-0.03,0.01
NAVINFLUOR,228,135,93,2016-12-27,2017-01-02,2485.69,0.01,2413.65,2518.05,0.04,0.01,-0.0,0.03,2017-01-02,2017-01-06,2566.62,0.01,2518.05,2610.5,0.04,0.01,-0.0,0.02
UNICHEMLAB,135,43,92,2016-12-27,2017-01-02,254.43,0.01,247.0,259.9,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,265.27,0.01,259.9,274.9,0.06,0.01,0.0,0.03
ASIANPAINT,284,192,92,2016-12-27,2017-01-02,885.49,0.01,876.0,904.65,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,910.77,0.01,904.65,929.5,0.03,0.01,-0.01,0.01
MARICO,262,170,92,2016-12-27,2017-01-02,252.35,0.02,245.6,253.8,0.03,0.01,-0.03,0.03,2017-01-02,2017-01-06,258.05,0.01,253.8,260.4,0.03,0.01,-0.0,0.02
THOMASCOOK,205,115,90,2016-12-27,2017-01-02,183.84,0.02,179.85,187.15,0.04,0.01,-0.01,0.04,2017-01-02,2017-01-06,189.22,0.02,187.15,193.95,0.04,0.01,-0.01,0.04
KEC,273,184,89,2016-12-27,2017-01-02,138.26,0.01,134.75,139.5,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,143.35,0.01,139.5,144.1,0.03,0.01,-0.01,0.02
KRBL,182,93,89,2016-12-27,2017-01-02,296.12,0.01,287.85,300.35,0.04,0.01,0.0,0.03,2017-01-02,2017-01-06,309.57,0.02,300.35,312.05,0.04,0.01,-0.01,0.04
BAJAJHLDNG,185,97,88,2016-12-27,2017-01-02,1796.28,0.01,1757.85,1825.65,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,1851.83,0.01,1825.65,1891.8,0.04,0.01,-0.0,0.02
NMDC,136,50,86,2016-12-27,2017-01-02,123.51,0.02,121.85,128.2,0.05,0.01,-0.01,0.04,2017-01-02,2017-01-06,132.72,0.01,128.2,135.95,0.06,0.01,0.01,0.03
GMRINFRA,176,91,85,2016-12-27,2017-01-02,11.68,0.01,11.5,12.05,0.05,0.01,-0.01,0.02,2017-01-02,2017-01-06,12.46,0.02,12.05,12.5,0.04,0.01,-0.02,0.04
AXISBANK,319,235,84,2016-12-27,2017-01-02,443.93,0.01,437.65,447.75,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,453.87,0.01,447.75,455.2,0.02,0.0,-0.01,0.02
TITAN,132,48,84,2016-12-27,2017-01-02,322.46,0.01,316.35,333.95,0.05,0.01,-0.01,0.02,2017-01-02,2017-01-06,351.0,0.02,333.95,355.2,0.06,0.02,-0.01,0.04
SHILPAMED,368,284,84,2016-12-27,2017-01-02,685.72,0.01,672.8,689.8,0.02,0.01,-0.0,0.02,2017-01-02,2017-01-06,700.57,0.01,689.8,698.1,0.01,0.0,-0.01,0.02
VGUARD,344,261,83,2016-12-27,2017-01-02,159.84,0.02,159.9,163.25,0.02,0.01,-0.03,0.02,2017-01-02,2017-01-06,164.22,0.0,163.25,164.65,0.01,0.0,-0.0,0.0
BPCL,218,136,82,2016-12-27,2017-01-02,629.27,0.02,615.55,640.5,0.04,0.01,-0.01,0.04,2017-01-02,2017-01-06,656.81,0.01,640.5,664.85,0.04,0.01,-0.01,0.03
BATAINDIA,163,82,81,2016-12-27,2017-01-02,442.14,0.01,426.35,447.15,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,463.26,0.01,447.15,472.25,0.05,0.01,0.0,0.04
OIL,215,134,81,2016-12-27,2017-01-02,444.93,0.01,436.1,455.25,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,462.49,0.01,455.25,475.1,0.04,0.01,-0.0,0.02
VIDEOIND,440,360,80,2016-12-27,2017-01-02,104.18,0.0,104.1,104.1,0.0,0.0,-0.0,0.0,2017-01-02,2017-01-06,104.08,0.0,104.1,104.1,0.0,0.0,-0.0,0.0
JCHAC,429,349,80,2016-12-27,2017-01-02,1384.48,0.0,1381.95,1383.4,0.0,0.0,-0.0,0.0,2017-01-02,2017-01-06,1380.25,0.01,1383.4,1378.6,-0.0,-0.0,-0.01,0.01
JPPOWER,198,118,80,2016-12-27,2017-01-02,3.91,0.01,3.85,4.0,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,4.13,0.03,4.0,4.15,0.04,0.01,-0.04,0.04
IDFCBANK,438,361,77,2016-12-27,2017-01-02,60.17,0.02,61.1,60.8,-0.0,-0.0,-0.02,0.01,2017-01-02,2017-01-06,60.55,0.01,60.8,60.65,-0.0,-0.0,-0.01,0.01
GAIL,299,222,77,2016-12-27,2017-01-02,429.72,0.02,424.05,435.15,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,440.29,0.01,435.15,442.55,0.02,0.0,-0.0,0.01
TATACOMM,371,294,77,2016-12-27,2017-01-02,619.75,0.02,619.3,629.25,0.02,0.0,-0.02,0.02,2017-01-02,2017-01-06,630.33,0.01,629.25,633.6,0.01,0.0,-0.01,0.02
AARTIIND,351,275,76,2016-12-27,2017-01-02,682.88,0.01,680.75,695.25,0.02,0.01,-0.01,0.01,2017-01-02,2017-01-06,699.55,0.01,695.25,699.75,0.01,0.0,-0.01,0.01
SCI,138,62,76,2016-12-27,2017-01-02,58.14,0.01,57.1,60.3,0.05,0.01,-0.0,0.03,2017-01-02,2017-01-06,62.95,0.03,60.3,63.65,0.05,0.01,-0.03,0.05
BAJAJELEC,164,92,72,2016-12-27,2017-01-02,214.66,0.01,209.8,221.05,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,227.14,0.02,221.05,229.1,0.04,0.01,-0.02,0.03
DISHTV,335,266,69,2016-12-27,2017-01-02,83.69,0.01,82.95,84.8,0.02,0.01,-0.0,0.02,2017-01-02,2017-01-06,85.46,0.01,84.8,86.0,0.01,0.0,-0.01,0.02
FSL,434,365,69,2016-12-27,2017-01-02,34.75,0.0,34.75,34.75,0.0,0.0,0.0,0.0,2017-01-02,2017-01-06,34.75,0.0,34.75,34.75,0.0,0.0,0.0,0.0
GILLETTE,468,399,69,2016-12-27,2017-01-02,4289.5,0.01,4293.7,4249.75,-0.01,-0.0,-0.01,0.0,2017-01-02,2017-01-06,4234.1,0.0,4249.75,4220.75,-0.01,-0.0,-0.0,-0.0
DHANUKA,196,128,68,2016-12-27,2017-01-02,731.87,0.01,716.45,746.45,0.04,0.01,-0.0,0.02,2017-01-02,2017-01-06,764.34,0.01,746.45,775.45,0.04,0.01,-0.0,0.02
POLARIS,265,201,64,2016-12-27,2017-01-02,149.34,0.01,147.95,152.0,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,154.04,0.01,152.0,155.1,0.02,0.01,-0.01,0.02
JUBILANT,69,6,63,2016-12-27,2017-01-02,615.05,0.03,579.6,621.95,0.07,0.02,-0.02,0.06,2017-01-02,2017-01-06,679.18,0.05,621.95,704.45,0.12,0.03,-0.02,0.11
SUNPHARMA,361,299,62,2016-12-27,2017-01-02,624.24,0.01,621.1,634.05,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,638.34,0.0,634.05,640.75,0.01,0.0,-0.0,0.01
BHARTIARTL,226,165,61,2016-12-27,2017-01-02,303.75,0.01,299.6,311.0,0.04,0.01,-0.0,0.02,2017-01-02,2017-01-06,314.04,0.02,311.0,319.75,0.03,0.01,-0.02,0.03
LINDEINDIA,450,389,61,2016-12-27,2017-01-02,351.12,0.01,350.7,352.25,0.0,0.0,-0.01,0.02,2017-01-02,2017-01-06,352.23,0.01,352.25,349.75,-0.01,-0.0,-0.01,0.01
CHOLAFIN,447,388,59,2016-12-27,2017-01-02,954.26,0.03,947.2,949.95,0.0,0.0,-0.04,0.05,2017-01-02,2017-01-06,947.39,0.01,949.95,942.85,-0.01,-0.0,-0.02,0.01
