,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
ZYDUSWELL,2016-11-10,2017-01-03,847.91,14.67,833.85,868.05,4.1,-2.03,4.29
3MINDIA,,,,,,,,,
8KMILES,,,,,,,,,
AARTIIND,,,,,,,,,
ABAN,,,,,,,,,
ABB,,,,,,,,,
ABFRL,,,,,,,,,
ABIRLANUVO,,,,,,,,,
ACC,,,,,,,,,
ADANIENT,,,,,,,,,
ADANIPORTS,,,,,,,,,
ADANIPOWER,,,,,,,,,
ADANITRANS,,,,,,,,,
AEGISCHEM,,,,,,,,,
AHLUCONT,,,,,,,,,
AIAENG,,,,,,,,,
AJANTPHARM,,,,,,,,,
AKZOINDIA,,,,,,,,,
ALBK,,,,,,,,,
ALKEM,,,,,,,,,
ALLCARGO,,,,,,,,,
ALOKTEXT,,,,,,,,,
AMARAJABAT,,,,,,,,,
AMBUJACEM,,,,,,,,,
AMTEKAUTO,,,,,,,,,
ANANTRAJ,,,,,,,,,
ANDHRABANK,,,,,,,,,
APARINDS,,,,,,,,,
APLAPOLLO,,,,,,,,,
APLLTD,,,,,,,,,
APOLLOHOSP,,,,,,,,,
APOLLOTYRE,,,,,,,,,
ARVIND,,,,,,,,,
ASHOKA,,,,,,,,,
ASHOKLEY,,,,,,,,,
ASIANPAINT,,,,,,,,,
ASTRAL,,,,,,,,,
ASTRAZEN,,,,,,,,,
ATUL,,,,,,,,,
AUROPHARMA,,,,,,,,,
AVANTIFEED,,,,,,,,,
AXISBANK,,,,,,,,,
BAJAJCORP,,,,,,,,,
BAJAJELEC,,,,,,,,,
BAJAJFINSV,,,,,,,,,
BAJAJHIND,,,,,,,,,
BAJAJHLDNG,,,,,,,,,
BAJFINANCE,,,,,,,,,
BALKRISIND,,,,,,,,,
BALLARPUR,,,,,,,,,
BALMLAWRIE,,,,,,,,,
BALRAMCHIN,,,,,,,,,
BANKBARODA,,,,,,,,,
BANKINDIA,,,,,,,,,
BASF,,,,,,,,,
BATAINDIA,,,,,,,,,
BBTC,,,,,,,,,
BEL,,,,,,,,,
BEML,,,,,,,,,
BERGEPAINT,,,,,,,,,
BFUTILITIE,,,,,,,,,
BGRENERGY,,,,,,,,,
BHARATFIN,,,,,,,,,
BHARATFORG,,,,,,,,,
BHARTIARTL,,,,,,,,,
BHEL,,,,,,,,,
BHUSANSTL,,,,,,,,,
BIOCON,,,,,,,,,
BIRLACORPN,,,,,,,,,
BLISSGVS,,,,,,,,,
BLUEDART,,,,,,,,,
BLUESTARCO,,,,,,,,,
BOMDYEING,,,,,,,,,
BOSCHLTD,,,,,,,,,
BPCL,,,,,,,,,
BRFL,,,,,,,,,
BRIGADE,,,,,,,,,
BRITANNIA,,,,,,,,,
CADILAHC,,,,,,,,,
CAIRN,,,,,,,,,
CANBK,,,,,,,,,
CANFINHOME,,,,,,,,,
CAPF,,,,,,,,,
CAPLIPOINT,,,,,,,,,
CARBORUNIV,,,,,,,,,
CARERATING,,,,,,,,,
CASTROLIND,,,,,,,,,
CCL,,,,,,,,,
CEATLTD,,,,,,,,,
CENTRALBK,,,,,,,,,
CENTURYPLY,,,,,,,,,
CENTURYTEX,,,,,,,,,
CERA,,,,,,,,,
CESC,,,,,,,,,
CHAMBLFERT,,,,,,,,,
CHENNPETRO,,,,,,,,,
CHOLAFIN,,,,,,,,,
CIPLA,,,,,,,,,
COALINDIA,,,,,,,,,
COFFEEDAY,,,,,,,,,
COLPAL,,,,,,,,,
CONCOR,,,,,,,,,
COROMANDEL,,,,,,,,,
CORPBANK,,,,,,,,,
CRISIL,,,,,,,,,
CROMPGREAV,,,,,,,,,
CUB,,,,,,,,,
CUMMINSIND,,,,,,,,,
CYIENT,,,,,,,,,
DABUR,,,,,,,,,
DALMIABHA,,,,,,,,,
DBCORP,,,,,,,,,
DBREALTY,,,,,,,,,
DCBBANK,,,,,,,,,
DCMSHRIRAM,,,,,,,,,
DEEPAKFERT,,,,,,,,,
DELTACORP,,,,,,,,,
DEN,,,,,,,,,
DENABANK,,,,,,,,,
DHANUKA,,,,,,,,,
DHFL,,,,,,,,,
DISHMAN,,,,,,,,,
DISHTV,,,,,,,,,
DIVISLAB,,,,,,,,,
DLF,,,,,,,,,
DREDGECORP,,,,,,,,,
DRREDDY,,,,,,,,,
DYNAMATECH,,,,,,,,,
ECLERX,,,,,,,,,
EDELWEISS,,,,,,,,,
EICHERMOT,,,,,,,,,
EIDPARRY,,,,,,,,,
EIHOTEL,,,,,,,,,
EMAMILTD,,,,,,,,,
ENGINERSIN,,,,,,,,,
EQUITAS,,,,,,,,,
EROSMEDIA,,,,,,,,,
ESCORTS,,,,,,,,,
ESSELPACK,,,,,,,,,
EVEREADY,,,,,,,,,
EXIDEIND,,,,,,,,,
FAGBEARING,,,,,,,,,
FDC,,,,,,,,,
FEDERALBNK,,,,,,,,,
FINCABLES,,,,,,,,,
FINPIPE,,,,,,,,,
FLFL,,,,,,,,,
FORTIS,,,,,,,,,
FSL,,,,,,,,,
GAIL,,,,,,,,,
GATI,,,,,,,,,
GAYAPROJ,,,,,,,,,
GDL,,,,,,,,,
GEPIL,,,,,,,,,
GESHIP,,,,,,,,,
GILLETTE,,,,,,,,,
GLAXO,,,,,,,,,
GLENMARK,,,,,,,,,
GMDCLTD,,,,,,,,,
GMRINFRA,,,,,,,,,
GODFRYPHLP,,,,,,,,,
GODREJCP,,,,,,,,,
GODREJIND,,,,,,,,,
GODREJPROP,,,,,,,,,
GPPL,,,,,,,,,
GRANULES,,,,,,,,,
GRASIM,,,,,,,,,
GREAVESCOT,,,,,,,,,
GREENPLY,,,,,,,,,
GRINDWELL,,,,,,,,,
GRUH,,,,,,,,,
GSFC,,,,,,,,,
GSKCONS,,,,,,,,,
GSPL,,,,,,,,,
GUJFLUORO,,,,,,,,,
GUJGASLTD,,,,,,,,,
GULFOILLUB,,,,,,,,,
GVKPIL,,,,,,,,,
HATHWAY,,,,,,,,,
HAVELLS,,,,,,,,,
HCC,,,,,,,,,
HCLTECH,,,,,,,,,
HDFC,,,,,,,,,
HDFCBANK,,,,,,,,,
HDIL,,,,,,,,,
HEIDELBERG,,,,,,,,,
HEROMOTOCO,,,,,,,,,
HEXAWARE,,,,,,,,,
HFCL,,,,,,,,,
HIMATSEIDE,,,,,,,,,
HINDALCO,,,,,,,,,
HINDCOPPER,,,,,,,,,
HINDPETRO,,,,,,,,,
HINDUNILVR,,,,,,,,,
HINDZINC,,,,,,,,,
HMVL,,,,,,,,,
HONAUT,,,,,,,,,
HSIL,,,,,,,,,
HTMEDIA,,,,,,,,,
IBREALEST,,,,,,,,,
IBULHSGFIN,,,,,,,,,
ICICIBANK,,,,,,,,,
ICIL,,,,,,,,,
ICRA,,,,,,,,,
IDBI,,,,,,,,,
IDEA,,,,,,,,,
IDFC,,,,,,,,,
IDFCBANK,,,,,,,,,
IFCI,,,,,,,,,
IGARASHI,,,,,,,,,
IGL,,,,,,,,,
IIFL,,,,,,,,,
INDHOTEL,,,,,,,,,
INDIACEM,,,,,,,,,
INDIANB,,,,,,,,,
INDIGO,,,,,,,,,
INDOCO,,,,,,,,,
INDUSINDBK,,,,,,,,,
INFIBEAM,,,,,,,,,
INFRATEL,,,,,,,,,
INFY,,,,,,,,,
INGERRAND,,,,,,,,,
INOXLEISUR,,,,,,,,,
INOXWIND,,,,,,,,,
INTELLECT,,,,,,,,,
IOB,,,,,,,,,
IOC,,,,,,,,,
IPAPPM,,,,,,,,,
IPCALAB,,,,,,,,,
IRB,,,,,,,,,
ITC,,,,,,,,,
ITDCEM,,,,,,,,,
JAGRAN,,,,,,,,,
JAICORPLTD,,,,,,,,,
JBCHEPHARM,,,,,,,,,
JBFIND,,,,,,,,,
JCHAC,,,,,,,,,
JETAIRWAYS,,,,,,,,,
JINDALPOLY,,,,,,,,,
JINDALSTEL,,,,,,,,,
JISLJALEQS,,,,,,,,,
JKCEMENT,,,,,,,,,
JKIL,,,,,,,,,
JKLAKSHMI,,,,,,,,,
JKTYRE,,,,,,,,,
JMFINANCIL,,,,,,,,,
JMTAUTOLTD,,,,,,,,,
JPASSOCIAT,,,,,,,,,
JPINFRATEC,,,,,,,,,
JPPOWER,,,,,,,,,
JSWENERGY,,,,,,,,,
JSWHL,,,,,,,,,
JSWSTEEL,,,,,,,,,
JUBILANT,,,,,,,,,
JUBLFOOD,,,,,,,,,
JUSTDIAL,,,,,,,,,
JYOTHYLAB,,,,,,,,,
KAJARIACER,,,,,,,,,
KALPATPOWR,,,,,,,,,
KANSAINER,,,,,,,,,
KARURVYSYA,,,,,,,,,
KEC,,,,,,,,,
KESORAMIND,,,,,,,,,
KITEX,,,,,,,,,
KOLTEPATIL,,,,,,,,,
KOTAKBANK,,,,,,,,,
KPIT,,,,,,,,,
KPRMILL,,,,,,,,,
KRBL,,,,,,,,,
KSBPUMPS,,,,,,,,,
KSCL,,,,,,,,,
KTKBANK,,,,,,,,,
KWALITY,,,,,,,,,
LAKSHVILAS,,,,,,,,,
LALPATHLAB,,,,,,,,,
LAOPALA,,,,,,,,,
LAXMIMACH,,,,,,,,,
LICHSGFIN,,,,,,,,,
LINDEINDIA,,,,,,,,,
LITL,,,,,,,,,
LT,,,,,,,,,
LUPIN,,,,,,,,,
MAGMA,,,,,,,,,
MAHINDCIE,,,,,,,,,
MAHLIFE,,,,,,,,,
MANAPPURAM,,,,,,,,,
MANPASAND,,,,,,,,,
MARICO,,,,,,,,,
MARKSANS,,,,,,,,,
MARUTI,,,,,,,,,
MAYURUNIQ,,,,,,,,,
MCLEODRUSS,,,,,,,,,
MERCK,,,,,,,,,
MFSL,,,,,,,,,
MHRIL,,,,,,,,,
MINDTREE,,,,,,,,,
MMTC,,,,,,,,,
MOIL,,,,,,,,,
MONSANTO,,,,,,,,,
MOTHERSUMI,,,,,,,,,
MOTILALOFS,,,,,,,,,
MPHASIS,,,,,,,,,
MRF,,,,,,,,,
MRPL,,,,,,,,,
MTNL,,,,,,,,,
MUTHOOTFIN,,,,,,,,,
MYSOREBANK,,,,,,,,,
NATCOPHARM,,,,,,,,,
NATIONALUM,,,,,,,,,
NAUKRI,,,,,,,,,
NAVINFLUOR,,,,,,,,,
NAVKARCORP,,,,,,,,,
NBCC,,,,,,,,,
NCC,,,,,,,,,
NETWORK18,,,,,,,,,
NH,,,,,,,,,
NHPC,,,,,,,,,
NIITTECH,,,,,,,,,
NILKAMAL,,,,,,,,,
NITINFIRE,,,,,,,,,
NLCINDIA,,,,,,,,,
NMDC,,,,,,,,,
NTPC,,,,,,,,,
OBEROIRLTY,,,,,,,,,
OCL,,,,,,,,,
OFSS,,,,,,,,,
OIL,,,,,,,,,
OMAXE,,,,,,,,,
ONGC,,,,,,,,,
ORIENTBANK,,,,,,,,,
ORIENTCEM,,,,,,,,,
ORISSAMINE,,,,,,,,,
PAGEIND,,,,,,,,,
PCJEWELLER,,,,,,,,,
PEL,,,,,,,,,
PERSISTENT,,,,,,,,,
PETRONET,,,,,,,,,
PFC,,,,,,,,,
PFIZER,,,,,,,,,
PFS,,,,,,,,,
PGHH,,,,,,,,,
PHOENIXLTD,,,,,,,,,
PIDILITIND,,,,,,,,,
PIIND,,,,,,,,,
PNB,,,,,,,,,
PNCINFRA,,,,,,,,,
POLARIS,,,,,,,,,
POWERGRID,,,,,,,,,
PRAJIND,,,,,,,,,
PRESTIGE,,,,,,,,,
PRISMCEM,,,,,,,,,
PTC,,,,,,,,,
PUNJLLOYD,,,,,,,,,
PVR,,,,,,,,,
RADICO,,,,,,,,,
RAIN,,,,,,,,,
RAJESHEXPO,,,,,,,,,
RALLIS,,,,,,,,,
RAMCOCEM,,,,,,,,,
RAMCOSYS,,,,,,,,,
RAYMOND,,,,,,,,,
RCF,,,,,,,,,
RCOM,,,,,,,,,
RDEL,,,,,,,,,
RECLTD,,,,,,,,,
REDINGTON,,,,,,,,,
RELAXO,,,,,,,,,
RELCAPITAL,,,,,,,,,
RELIANCE,,,,,,,,,
RELIGARE,,,,,,,,,
RELINFRA,,,,,,,,,
RENUKA,,,,,,,,,
REPCOHOME,,,,,,,,,
RIIL,,,,,,,,,
RKFORGE,,,,,,,,,
ROLTA,,,,,,,,,
RPOWER,,,,,,,,,
RTNPOWER,,,,,,,,,
RUCHISOYA,,,,,,,,,
SADBHAV,,,,,,,,,
SAIL,,,,,,,,,
SANOFI,,,,,,,,,
SBBJ,,,,,,,,,
SBIN,,,,,,,,,
SBT,,,,,,,,,
SCHNEIDER,,,,,,,,,
SCI,,,,,,,,,
SEQUENT,,,,,,,,,
SFCL,,,,,,,,,
SHARDACROP,,,,,,,,,
SHILPAMED,,,,,,,,,
SHK,,,,,,,,,
SHOPERSTOP,,,,,,,,,
SHREECEM,,,,,,,,,
SHRIRAMCIT,,,,,,,,,
SIEMENS,,,,,,,,,
SIMPLEXINF,,,,,,,,,
SINTEX,,,,,,,,,
SITINET,,,,,,,,,
SJVN,,,,,,,,,
SKFINDIA,,,,,,,,,
SMLISUZU,,,,,,,,,
SNOWMAN,,,,,,,,,
SOBHA,,,,,,,,,
SOLARINDS,,,,,,,,,
SOMANYCERA,,,,,,,,,
SONATSOFTW,,,,,,,,,
SOUTHBANK,,,,,,,,,
SPARC,,,,,,,,,
SREINFRA,,,,,,,,,
SRF,,,,,,,,,
SRTRANSFIN,,,,,,,,,
STAR,,,,,,,,,
STCINDIA,,,,,,,,,
SUNDARMFIN,,,,,,,,,
SUNDRMFAST,,,,,,,,,
SUNPHARMA,,,,,,,,,
SUNTECK,,,,,,,,,
SUNTV,,,,,,,,,
SUPRAJIT,,,,,,,,,
SUPREMEIND,,,,,,,,,
SUVEN,,,,,,,,,
SUZLON,,,,,,,,,
SWANENERGY,,,,,,,,,
SYMPHONY,,,,,,,,,
SYNDIBANK,,,,,,,,,
SYNGENE,,,,,,,,,
TAKE,,,,,,,,,
TATACHEM,,,,,,,,,
TATACOFFEE,,,,,,,,,
TATACOMM,,,,,,,,,
TATAELXSI,,,,,,,,,
TATAGLOBAL,,,,,,,,,
TATAMOTORS,,,,,,,,,
TATAMTRDVR,,,,,,,,,
TATAPOWER,,,,,,,,,
TATASPONGE,,,,,,,,,
TATASTEEL,,,,,,,,,
TCS,,,,,,,,,
TECHM,,,,,,,,,
TECHNO,,,,,,,,,
TEXRAIL,,,,,,,,,
THERMAX,,,,,,,,,
THOMASCOOK,,,,,,,,,
TIDEWATER,,,,,,,,,
TIMKEN,,,,,,,,,
TITAN,,,,,,,,,
TNPL,,,,,,,,,
TORNTPHARM,,,,,,,,,
TORNTPOWER,,,,,,,,,
TRENT,,,,,,,,,
TRIDENT,,,,,,,,,
TRITURBINE,,,,,,,,,
TTKPRESTIG,,,,,,,,,
TUBEINVEST,,,,,,,,,
TV18BRDCST,,,,,,,,,
TVSMOTOR,,,,,,,,,
TVSSRICHAK,,,,,,,,,
TVTODAY,,,,,,,,,
UBL,,,,,,,,,
UCOBANK,,,,,,,,,
UFLEX,,,,,,,,,
ULTRACEMCO,,,,,,,,,
UNICHEMLAB,,,,,,,,,
UNIONBANK,,,,,,,,,
UNITECH,,,,,,,,,
UPL,,,,,,,,,
VAKRANGEE,,,,,,,,,
VEDL,,,,,,,,,
VGUARD,,,,,,,,,
VIDEOIND,,,,,,,,,
VIJAYABANK,,,,,,,,,
VINATIORGA,,,,,,,,,
VIPIND,,,,,,,,,
VOLTAS,,,,,,,,,
VRLLOG,,,,,,,,,
VSTIND,,,,,,,,,
VTL,,,,,,,,,
WABAG,,,,,,,,,
WABCOINDIA,,,,,,,,,
WELCORP,,,,,,,,,
WELSPUNIND,,,,,,,,,
WHIRLPOOL,,,,,,,,,
WIPRO,,,,,,,,,
WOCKPHARMA,,,,,,,,,
WONDERLA,,,,,,,,,
YESBANK,,,,,,,,,
ZEEL,,,,,,,,,
ZEELEARN,,,,,,,,,
ZENSARTECH,,,,,,,,,
