Symbol,Start_Price,Mean_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Volatility
BAJAJHLDNG.NS,1806.85,1908.9,2058.55,0.13,0.0,-0.03,0.03,0.01
RTNPOWER.NS,6.65,7.11,7.6,0.13,0.0,-0.05,0.06,0.02
TATAELXSI.NS,1323.35,1431.39,1501.05,0.13,0.0,-0.03,0.06,0.02
SYMPHONY.NS,1181.9,1219.66,1349.6,0.13,0.0,-0.03,0.11,0.02
RELINFRA.NS,477.75,503.86,543.3,0.13,0.0,-0.07,0.03,0.02
MAYURUNIQ.NS,339.45,356.97,382.95,0.12,0.0,-0.02,0.04,0.01
ALKEM.NS,1601.2,1678.12,1812.2,0.12,0.0,-0.04,0.04,0.01
CAIRN.NS,243.95,263.5,274.35,0.12,0.0,-0.03,0.04,0.02
BEL.NS,1384.95,1485.5,1564.35,0.12,0.0,-0.03,0.04,0.02
AMTEKAUTO.NS,32.9,34.1,36.95,0.12,0.0,-0.04,0.11,0.02
TATACOFFEE.NS,113.7,119.66,128.65,0.12,0.0,-0.04,0.06,0.02
BALKRISIND.NS,1048.95,1116.23,1184.5,0.12,0.0,-0.03,0.08,0.02
BIRLACORPN.NS,641.1,697.58,725.6,0.12,0.0,-0.03,0.06,0.02
RELCAPITAL.NS,437.55,453.86,493.25,0.12,0.0,-0.06,0.04,0.02
RAJESHEXPO.NS,441.6,488.61,497.4,0.12,0.0,-0.02,0.04,0.01
SIMPLEXINF.NS,275.1,293.23,311.35,0.12,0.0,-0.04,0.09,0.03
PFS.NS,37.2,40.65,41.8,0.12,0.0,-0.04,0.05,0.02
ICICIBANK.NS,251.85,265.36,285.0,0.12,0.0,-0.02,0.05,0.02
PIDILITIND.NS,587.0,636.68,663.1,0.12,0.0,-0.02,0.05,0.02
SOBHA.NS,247.0,260.76,277.7,0.12,0.0,-0.02,0.03,0.01
PFC.NS,119.7,130.73,135.45,0.12,0.0,-0.04,0.04,0.02
MOTHERSUMI.NS,309.1,329.36,348.85,0.12,0.0,-0.03,0.04,0.01
WABCOINDIA.NS,4910.5,5281.08,5533.85,0.12,0.0,-0.02,0.11,0.03
NCC.NS,78.0,82.66,87.4,0.11,0.0,-0.04,0.04,0.02
TIDEWATER.NS,5510.95,5876.42,6170.05,0.11,0.0,-0.03,0.07,0.02
ARVIND.NS,339.6,362.99,379.95,0.11,0.0,-0.04,0.06,0.02
KARURVYSYA.NS,82.55,84.42,92.3,0.11,0.0,-0.02,0.03,0.01
WONDERLA.NS,340.45,357.21,379.5,0.11,0.0,-0.03,0.03,0.02
TV18BRDCST.NS,36.25,37.4,40.35,0.11,0.0,-0.03,0.07,0.02
JAGRAN.NS,168.2,179.55,186.85,0.11,0.0,-0.02,0.03,0.01
MHRIL.NS,393.55,409.51,438.25,0.11,0.0,-0.03,0.05,0.01
AARTIIND.NS,701.4,712.99,786.45,0.11,0.0,-0.03,0.03,0.01
LT.NS,1337.45,1420.01,1490.7,0.11,0.0,-0.02,0.03,0.01
COALINDIA.NS,287.85,308.58,322.15,0.11,0.0,-0.03,0.05,0.02
THERMAX.NS,769.8,806.37,859.8,0.11,0.0,-0.03,0.04,0.02
BHARATFORG.NS,911.95,938.11,1017.75,0.11,0.0,-0.03,0.05,0.02
CARBORUNIV.NS,240.85,253.83,268.15,0.11,0.0,-0.02,0.04,0.01
SUVEN.NS,163.45,174.5,181.75,0.11,0.0,-0.03,0.04,0.02
TRITURBINE.NS,114.85,119.29,128.5,0.11,0.0,-0.04,0.05,0.02
JMFINANCIL.NS,66.7,70.89,74.7,0.11,0.0,-0.04,0.09,0.02
BERGEPAINT.NS,202.6,213.51,225.4,0.11,0.0,-0.05,0.05,0.02
JKLAKSHMI.NS,339.25,365.74,380.55,0.11,0.0,-0.02,0.04,0.01
RPOWER.NS,41.2,43.71,45.65,0.1,0.0,-0.04,0.02,0.01
POWERGRID.NS,182.3,194.9,202.15,0.1,0.0,-0.02,0.04,0.01
SHRIRAMCIT.NS,1770.75,1896.75,1959.7,0.1,0.0,-0.07,0.06,0.02
TATAMOTORS.NS,465.65,510.63,512.85,0.1,0.0,-0.04,0.04,0.02
TATAPOWER.NS,73.95,78.12,81.6,0.1,0.0,-0.02,0.03,0.01
TATASPONGE.NS,559.95,601.05,617.35,0.1,0.0,-0.03,0.03,0.01
SUPRAJIT.NS,188.4,194.79,207.6,0.1,0.0,-0.02,0.07,0.02
SOLARINDS.NS,660.65,700.05,727.7,0.1,0.0,-0.02,0.05,0.01
SBIN.NS,249.15,256.78,275.85,0.1,0.0,-0.03,0.04,0.01
VAKRANGEE.NS,273.95,289.63,303.2,0.1,0.0,-0.02,0.04,0.01
CANBK.NS,279.7,280.52,309.45,0.1,0.0,-0.06,0.04,0.02
GULFOILLUB.NS,635.55,658.94,700.05,0.1,0.0,-0.07,0.06,0.02
IPAPPM.NS,295.85,313.26,326.05,0.1,0.0,-0.04,0.05,0.02
EIHOTEL.NS,94.95,98.32,104.55,0.1,0.0,-0.03,0.03,0.01
WELCORP.NS,79.45,80.84,88.05,0.1,0.0,-0.08,0.07,0.02
AXISBANK.NS,438.1,463.66,485.25,0.1,0.0,-0.07,0.04,0.02
TVSMOTOR.NS,370.65,382.79,408.0,0.1,0.0,-0.04,0.05,0.02
KTKBANK.NS,108.45,116.76,119.15,0.09,0.0,-0.05,0.04,0.02
IDFC.NS,51.7,56.09,56.8,0.09,0.0,-0.04,0.06,0.02
BFUTILITIE.NS,386.6,388.24,421.95,0.09,0.0,-0.04,0.04,0.02
AUROPHARMA.NS,647.55,688.12,706.75,0.09,0.0,-0.04,0.03,0.02
GODREJCP.NS,1433.6,1544.69,1564.75,0.09,0.0,-0.02,0.03,0.01
SHOPERSTOP.NS,296.55,293.27,324.65,0.09,0.0,-0.05,0.05,0.02
SFCL.NS,95.5,98.21,104.5,0.09,0.0,-0.04,0.04,0.01
SHARDACROP.NS,446.9,471.64,490.45,0.09,0.0,-0.02,0.06,0.02
JAICORPLTD.NS,65.6,71.61,71.55,0.09,0.0,-0.03,0.07,0.02
FAGBEARING.NS,3827.6,3933.5,4173.65,0.09,0.0,-0.01,0.03,0.01
UCOBANK.NS,33.45,34.29,36.7,0.09,0.0,-0.02,0.06,0.01
APOLLOHOSP.NS,1136.4,1198.62,1240.7,0.09,0.0,-0.02,0.04,0.01
MAHINDCIE.NS,177.75,191.01,195.3,0.09,0.0,-0.04,0.04,0.02
LINDEINDIA.NS,354.75,359.47,390.05,0.09,0.0,-0.03,0.07,0.02
HDFCBANK.NS,1186.25,1243.04,1297.65,0.09,0.0,-0.01,0.02,0.01
ABAN.NS,224.15,242.64,245.9,0.09,0.0,-0.03,0.04,0.02
DHANUKA.NS,713.65,748.28,779.3,0.09,0.0,-0.06,0.05,0.02
MARICO.NS,245.4,257.14,267.8,0.09,0.0,-0.03,0.05,0.02
TATAMTRDVR.NS,293.7,322.29,319.9,0.09,0.0,-0.03,0.04,0.02
HCC.NS,38.15,41.78,41.85,0.09,0.0,-0.06,0.06,0.02
SUPREMEIND.NS,897.55,910.86,985.8,0.09,0.0,-0.03,0.03,0.01
CENTRALBK.NS,83.05,84.45,90.0,0.08,0.0,-0.02,0.03,0.01
RDEL.NS,54.55,57.11,59.35,0.08,0.0,-0.02,0.08,0.02
JSWENERGY.NS,58.35,61.71,63.25,0.08,0.0,-0.05,0.06,0.02
VOLTAS.NS,316.2,334.27,342.65,0.08,0.0,-0.04,0.04,0.02
TNPL.NS,332.05,342.73,359.55,0.08,0.0,-0.03,0.04,0.01
CADILAHC.NS,336.85,357.97,366.25,0.08,0.0,-0.07,0.04,0.02
DBCORP.NS,353.65,367.22,383.75,0.08,0.0,-0.05,0.03,0.01
HATHWAY.NS,33.75,36.37,36.7,0.08,0.0,-0.03,0.04,0.02
IGARASHI.NS,699.55,725.98,759.3,0.08,0.0,-0.03,0.03,0.01
JYOTHYLAB.NS,329.05,342.72,356.2,0.08,0.0,-0.03,0.04,0.01
CHOLAFIN.NS,934.8,985.42,1016.7,0.08,0.0,-0.04,0.05,0.02
FORTIS.NS,179.15,186.94,194.7,0.08,0.0,-0.04,0.04,0.02
LAKSHVILAS.NS,141.55,140.07,154.05,0.08,0.0,-0.03,0.05,0.01
AKZOINDIA.NS,1372.3,1420.71,1486.6,0.08,0.0,-0.02,0.04,0.01
OBEROIRLTY.NS,302.2,312.8,327.55,0.08,0.0,-0.03,0.06,0.02
IOB.NS,24.9,25.55,27.1,0.08,0.0,-0.03,0.04,0.02
KOTAKBANK.NS,711.75,738.74,769.65,0.08,0.0,-0.02,0.07,0.01
ICRA.NS,3966.45,4058.84,4317.15,0.08,0.0,-0.01,0.06,0.01
KANSAINER.NS,324.7,337.98,352.65,0.08,0.0,-0.03,0.03,0.01
RAYMOND.NS,472.2,506.28,506.45,0.07,0.0,-0.04,0.06,0.02
SBBJ.NS,684.3,691.47,736.2,0.07,0.0,-0.02,0.03,0.01
RELAXO.NS,399.65,418.61,427.1,0.07,0.0,-0.03,0.05,0.01
RIIL.NS,376.95,397.22,405.3,0.07,0.0,-0.02,0.04,0.01
HINDUNILVR.NS,789.5,840.07,850.75,0.07,0.0,-0.02,0.03,0.01
HEROMOTOCO.NS,3040.1,3118.57,3265.1,0.07,0.0,-0.02,0.04,0.01
THOMASCOOK.NS,181.45,191.29,193.95,0.07,0.0,-0.03,0.04,0.01
DISHMAN.NS,211.3,230.17,226.55,0.07,0.0,-0.05,0.1,0.03
JKTYRE.NS,111.0,121.2,119.25,0.07,0.0,-0.04,0.05,0.02
PRESTIGE.NS,171.95,169.93,184.4,0.07,0.0,-0.03,0.05,0.02
ORISSAMINE.NS,2106.6,2294.01,2258.1,0.07,0.0,-0.03,0.09,0.02
TUBEINVEST.NS,569.35,581.49,609.1,0.07,0.0,-0.03,0.04,0.01
DYNAMATECH.NS,2880.85,2972.95,3075.65,0.07,0.0,-0.04,0.07,0.02
NAVINFLUOR.NS,2465.3,2671.01,2653.4,0.07,0.0,-0.04,0.04,0.02
WABAG.NS,452.8,484.61,488.05,0.07,0.0,-0.02,0.02,0.01
SADBHAV.NS,259.7,274.76,277.25,0.07,0.0,-0.02,0.04,0.01
SHK.NS,296.0,314.33,318.3,0.07,0.0,-0.04,0.09,0.02
JINDALPOLY.NS,325.1,338.72,349.65,0.07,0.0,-0.05,0.04,0.02
JETAIRWAYS.NS,349.1,382.63,374.3,0.07,0.0,-0.03,0.04,0.02
IDFCBANK.NS,58.75,61.94,62.45,0.06,0.0,-0.05,0.08,0.02
PGHH.NS,6621.8,6912.15,7014.65,0.06,0.0,-0.03,0.03,0.01
JBCHEPHARM.NS,327.0,345.3,348.55,0.06,0.0,-0.02,0.05,0.02
MYSOREBANK.NS,539.6,540.96,572.95,0.06,0.0,-0.03,0.03,0.01
GUJFLUORO.NS,468.2,477.27,495.35,0.06,0.0,-0.02,0.06,0.02
PIIND.NS,833.7,851.88,881.75,0.06,0.0,-0.03,0.07,0.02
GATI.NS,114.95,119.02,122.6,0.06,0.0,-0.04,0.03,0.02
SBT.NS,537.9,540.2,573.1,0.06,0.0,-0.03,0.04,0.01
OMAXE.NS,158.5,162.51,168.75,0.06,0.0,-0.01,0.02,0.01
BASF.NS,1082.0,1170.87,1151.7,0.06,0.0,-0.03,0.06,0.02
REDINGTON.NS,96.75,100.48,102.75,0.06,0.0,-0.05,0.03,0.01
UFLEX.NS,257.6,273.82,272.5,0.06,0.0,-0.03,0.04,0.02
KITEX.NS,406.45,420.89,432.5,0.06,0.0,-0.03,0.06,0.02
SITINET.NS,37.1,38.14,39.1,0.05,0.0,-0.03,0.04,0.01
ECLERX.NS,1345.35,1447.42,1413.25,0.05,0.0,-0.04,0.02,0.01
SUNPHARMA.NS,623.5,639.96,655.5,0.05,0.0,-0.02,0.04,0.01
DISHTV.NS,83.3,85.87,87.6,0.05,0.0,-0.05,0.03,0.01
OIL.NS,327.79,340.17,344.25,0.05,0.0,-0.05,0.03,0.02
MRF.NS,48996.5,51546.02,51685.7,0.05,0.0,-0.03,0.04,0.02
AIAENG.NS,1275.2,1333.27,1342.55,0.05,0.0,-0.03,0.06,0.02
NAVKARCORP.NS,161.8,171.07,170.3,0.05,0.0,-0.03,0.03,0.01
RAMCOSYS.NS,339.25,369.5,357.8,0.05,0.0,-0.07,0.09,0.03
LALPATHLAB.NS,1021.35,1088.49,1074.9,0.05,0.0,-0.02,0.02,0.01
TVTODAY.NS,259.1,270.68,271.6,0.05,0.0,-0.03,0.08,0.02
INGERRAND.NS,662.2,674.14,697.9,0.05,0.0,-0.02,0.03,0.01
BALLARPUR.NS,16.0,15.94,16.85,0.05,0.0,-0.02,0.05,0.02
PETRONET.NS,357.6,371.66,376.45,0.05,0.0,-0.03,0.05,0.02
UBL.NS,762.85,803.91,804.95,0.05,0.0,-0.03,0.02,0.01
PAGEIND.NS,13565.8,14044.84,14192.2,0.05,0.0,-0.05,0.06,0.02
ROLTA.NS,61.95,63.74,64.65,0.04,0.0,-0.05,0.04,0.02
TTKPRESTIG.NS,5379.8,5739.52,5619.5,0.04,0.0,-0.03,0.05,0.01
NTPC.NS,161.05,168.72,168.2,0.04,0.0,-0.02,0.05,0.02
BAJAJCORP.NS,357.15,376.83,373.45,0.04,0.0,-0.02,0.03,0.01
HMVL.NS,267.75,270.95,277.45,0.04,0.0,-0.05,0.03,0.01
UNICHEMLAB.NS,257.8,269.01,268.8,0.04,0.0,-0.02,0.03,0.01
TECHM.NS,467.1,475.48,485.0,0.04,0.0,-0.04,0.04,0.02
INDOCO.NS,258.5,268.12,268.8,0.04,0.0,-0.02,0.05,0.01
MOIL.NS,352.55,376.82,365.75,0.04,0.0,-0.05,0.05,0.02
SCHNEIDER.NS,138.55,142.76,144.85,0.04,0.0,-0.04,0.07,0.02
TIMKEN.NS,582.0,625.84,607.45,0.04,0.0,-0.05,0.04,0.02
WOCKPHARMA.NS,661.9,674.75,685.4,0.03,0.0,-0.04,0.05,0.02
AJANTPHARM.NS,1753.75,1762.04,1804.4,0.03,0.0,-0.04,0.03,0.01
CARERATING.NS,1340.6,1367.24,1387.35,0.03,0.0,-0.04,0.04,0.02
MONSANTO.NS,2255.2,2270.87,2313.65,0.03,0.0,-0.02,0.02,0.01
HSIL.NS,280.75,287.64,289.95,0.03,0.0,-0.03,0.04,0.01
PRAJIND.NS,80.95,82.59,83.2,0.03,0.0,-0.04,0.03,0.01
INOXLEISUR.NS,222.6,228.65,230.1,0.03,0.0,-0.04,0.03,0.02
LUPIN.NS,1445.8,1486.77,1491.35,0.03,0.0,-0.03,0.03,0.01
LICHSGFIN.NS,541.8,540.62,557.9,0.03,0.0,-0.05,0.04,0.02
GESHIP.NS,358.4,380.73,368.6,0.03,0.0,-0.03,0.04,0.01
GLENMARK.NS,925.7,901.84,955.8,0.03,0.0,-0.04,0.04,0.01
GSKCONS.NS,4951.15,5073.14,5122.6,0.03,0.0,-0.02,0.03,0.01
HCLTECH.NS,793.75,829.99,819.7,0.03,0.0,-0.04,0.03,0.01
INDIGO.NS,825.05,867.65,846.45,0.03,0.0,-0.08,0.03,0.02
ASTRAZEN.NS,916.95,950.05,939.85,0.02,0.0,-0.02,0.02,0.01
PCJEWELLER.NS,391.1,391.03,398.0,0.02,0.0,-0.03,0.05,0.02
PERSISTENT.NS,601.2,617.9,615.85,0.02,0.0,-0.03,0.03,0.01
PNCINFRA.NS,103.55,105.14,105.25,0.02,0.0,-0.01,0.04,0.01
WIPRO.NS,458.75,470.68,466.0,0.02,0.0,-0.02,0.02,0.01
SPARC.NS,310.15,313.19,316.4,0.02,0.0,-0.03,0.05,0.02
RCOM.NS,34.75,33.31,35.45,0.02,0.0,-0.05,0.11,0.03
FDC.NS,206.85,217.14,210.2,0.02,0.0,-0.08,0.05,0.02
SONATSOFTW.NS,188.9,198.89,190.4,0.01,0.0,-0.05,0.04,0.03
GRINDWELL.NS,325.7,324.82,329.9,0.01,0.0,-0.02,0.03,0.01
CIPLA.NS,582.3,579.99,587.65,0.01,0.0,-0.05,0.04,0.01
LAOPALA.NS,476.95,469.26,483.95,0.01,0.0,-0.05,0.04,0.02
DABUR.NS,262.05,274.82,265.75,0.01,0.0,-0.02,0.04,0.01
DRREDDY.NS,2998.55,3030.05,3023.1,0.01,0.0,-0.03,0.03,0.01
NAUKRI.NS,826.25,859.62,831.7,0.01,0.0,-0.05,0.07,0.02
MAHLIFE.NS,349.4,358.83,352.6,0.01,0.0,-0.03,0.02,0.01
MERCK.NS,969.75,968.27,981.75,0.01,0.0,-0.02,0.05,0.01
MPHASIS.NS,559.3,544.96,564.6,0.01,0.0,-0.05,0.04,0.02
TCS.NS,2288.1,2301.12,2317.3,0.01,0.0,-0.05,0.02,0.02
VIDEOIND.NS,103.75,104.11,104.0,0.0,0.0,-0.0,0.0,0.0
TVSSRICHAK.NS,3223.15,3241.88,3218.85,-0.0,-0.0,-0.04,0.06,0.01
ZYDUSWELL.NS,841.45,861.93,844.3,0.0,0.0,-0.02,0.04,0.01
TAKE.NS,136.35,139.5,136.3,-0.0,-0.0,-0.04,0.04,0.02
BLUEDART.NS,4280.75,4410.89,4282.9,0.0,0.0,-0.02,0.02,0.01
MARKSANS.NS,40.4,39.64,40.45,0.0,0.0,-0.03,0.04,0.01
FSL.NS,34.75,34.75,34.75,0.0,0.0,0.0,0.0,0.0
ONGC.NS,192.95,197.51,192.9,-0.0,-0.0,-0.03,0.02,0.01
KSBPUMPS.NS,616.25,621.51,618.2,0.0,0.0,-0.03,0.05,0.02
CEATLTD.NS,1143.65,1179.93,1144.2,0.0,0.0,-0.03,0.04,0.02
IPCALAB.NS,529.8,537.95,527.95,-0.0,-0.0,-0.02,0.04,0.01
GLAXO.NS,2727.0,2728.75,2735.85,0.0,0.0,-0.01,0.01,0.01
ABFRL.NS,220.35,220.35,220.35,0.0,0.0,0.0,0.0,0.0
JCHAC.NS,1403.45,1412.35,1396.1,-0.01,-0.0,-0.02,0.03,0.01
AMARAJABAT.NS,887.05,894.62,880.3,-0.01,-0.0,-0.03,0.03,0.02
HEXAWARE.NS,204.25,200.48,202.3,-0.01,-0.0,-0.04,0.03,0.02
ESSELPACK.NS,247.35,247.75,245.7,-0.01,-0.0,-0.03,0.04,0.02
MAGMA.NS,99.45,99.77,98.85,-0.01,-0.0,-0.05,0.04,0.02
KPRMILL.NS,607.05,578.47,601.6,-0.01,-0.0,-0.03,0.03,0.01
GILLETTE.NS,4293.05,4230.74,4207.05,-0.02,-0.0,-0.01,0.01,0.0
KPIT.NS,136.8,136.12,133.5,-0.02,-0.0,-0.05,0.02,0.01
INOXWIND.NS,185.05,184.91,180.75,-0.02,-0.0,-0.04,0.06,0.02
LAXMIMACH.NS,3926.1,3913.63,3847.85,-0.02,-0.0,-0.02,0.02,0.01
COLPAL.NS,902.15,896.91,884.2,-0.02,-0.0,-0.02,0.01,0.01
NIITTECH.NS,429.9,427.09,423.45,-0.02,-0.0,-0.05,0.04,0.02
TORNTPHARM.NS,1282.25,1309.61,1257.0,-0.02,-0.0,-0.03,0.03,0.01
RELIANCE.NS,1057.3,1052.8,1032.75,-0.02,-0.0,-0.03,0.02,0.01
SANOFI.NS,4219.4,4183.31,4143.15,-0.02,-0.0,-0.02,0.02,0.01
APOLLOTYRE.NS,189.35,186.52,183.6,-0.03,-0.0,-0.04,0.04,0.02
CYIENT.NS,483.15,478.46,466.75,-0.03,-0.0,-0.03,0.03,0.01
INTELLECT.NS,136.25,142.3,131.75,-0.03,-0.0,-0.07,0.06,0.03
NH.NS,339.65,337.4,330.45,-0.03,-0.0,-0.02,0.02,0.01
PFIZER.NS,1826.9,1796.29,1764.4,-0.03,-0.0,-0.01,0.01,0.01
CRISIL.NS,2141.35,2147.73,2059.8,-0.04,-0.0,-0.03,0.03,0.01
ZENSARTECH.NS,945.3,919.77,911.2,-0.04,-0.0,-0.03,0.02,0.01
BLISSGVS.NS,161.2,153.92,155.15,-0.04,-0.0,-0.06,0.04,0.02
INFY.NS,988.45,963.64,946.0,-0.04,-0.0,-0.02,0.03,0.01
SYNGENE.NS,539.4,565.12,511.1,-0.05,-0.0,-0.04,0.07,0.02
ALLCARGO.NS,176.95,175.97,167.75,-0.05,-0.0,-0.03,0.03,0.02
SHILPAMED.NS,753.05,703.48,713.8,-0.05,-0.0,-0.08,0.04,0.02
RELIGARE.NS,251.2,248.25,239.65,-0.05,-0.0,-0.04,0.05,0.02
INFRATEL.NS,336.4,337.15,319.0,-0.05,-0.0,-0.11,0.03,0.03
PHOENIXLTD.NS,373.15,361.38,351.8,-0.06,-0.0,-0.03,0.02,0.01
8KMILES.NS,656.05,647.37,617.7,-0.06,-0.0,-0.04,0.05,0.02
MINDTREE.NS,496.9,483.95,457.6,-0.08,-0.0,-0.05,0.05,0.02
JMTAUTOLTD.NS,19.15,19.15,17.55,-0.09,-0.0,-0.04,0.11,0.02
APLLTD.NS,614.5,589.17,558.15,-0.1,-0.0,-0.03,0.01,0.01
DIVISLAB.NS,861.5,743.06,757.05,-0.13,-0.0,-0.12,0.06,0.03
TEXRAIL.NS,112.2,108.84,95.8,-0.16,-0.0,-0.07,0.05,0.02
NBCC.NS,334.88,318.14,280.95,-0.18,-0.01,-0.4,0.06,0.07
ENGINERSIN.NS,323.5,172.17,158.95,-0.71,-0.02,-0.68,0.05,0.12
BALMLAWRIE.NS,1050.65,251.75,218.55,-1.57,-0.05,-1.49,0.05,0.25
GAYAPROJ.NS,3143.5,2857.61,144.56,-3.08,-0.09,-1.61,0.05,0.38
JSWSTEEL.NS,15680.5,913.74,193.65,-4.39,-0.13,-2.33,0.07,0.55
