Date,Open,High,Low,Close,Volume
2016-01-11,3.44,3.54,3.4,3.46,668325
2016-01-12,3.51,3.58,3.38,3.48,1367762
2016-01-13,3.5,3.6,3.43,3.55,2329509
2016-01-14,3.58,3.76,3.56,3.71,910919
2016-01-15,3.54,3.66,3.5,3.6,830280
2016-01-19,3.62,3.67,3.46,3.53,723264
2016-01-20,3.51,3.52,3.31,3.46,693703
2016-01-21,3.48,3.66,3.48,3.57,921293
2016-01-22,3.64,3.8,3.63,3.7,754619
2016-01-25,3.66,3.95,3.66,3.86,1560112
2016-01-26,3.88,3.94,3.78,3.85,894484
2016-01-27,3.86,3.95,3.76,3.92,1179752
2016-01-28,3.62,3.62,2.75,2.9,5341993
2016-01-29,2.91,3.04,2.73,2.76,2578139
2016-02-01,2.83,2.92,2.76,2.82,1988791
2016-02-02,2.79,2.88,2.77,2.87,997715
2016-02-03,2.88,2.9,2.67,2.68,1203904
2016-02-04,2.7,2.78,2.56,2.58,1899426
2016-02-05,2.64,2.65,2.58,2.59,1275951
2016-02-08,2.6,2.61,2.47,2.51,1193574
2016-02-09,2.51,2.58,2.46,2.52,765099
2016-02-10,2.54,2.58,2.45,2.48,947950
2016-02-11,2.47,2.48,2.32,2.35,1452635
2016-02-12,2.36,2.51,2.36,2.5,1057163
2016-02-16,2.53,2.57,2.43,2.53,740678
2016-02-17,2.56,2.7,2.56,2.63,713906
2016-02-18,2.65,2.68,2.61,2.63,777406
2016-02-19,2.62,2.75,2.62,2.72,462456
2016-02-22,2.77,2.78,2.7,2.73,513068
2016-02-23,2.73,2.77,2.72,2.75,430696
2016-02-24,2.75,2.88,2.72,2.84,649707
2016-02-25,2.86,2.95,2.81,2.89,836080
2016-02-26,2.89,2.9,2.78,2.81,426349
2016-02-29,2.77,2.94,2.76,2.82,738660
2016-03-01,2.85,2.95,2.77,2.93,1172039
2016-03-02,2.92,2.99,2.9,2.94,500322
2016-03-03,2.95,3.07,2.92,3.04,896425
2016-03-04,3.04,3.18,3.02,3.09,1045978
2016-03-07,3.07,3.14,3.03,3.1,693919
2016-03-08,3.08,3.08,2.8,2.81,787714
2016-03-09,2.84,3.06,2.84,2.97,628227
2016-03-10,2.98,3.0,2.86,2.96,546809
2016-03-11,2.97,3.04,2.93,3.03,269403
2016-03-14,3.01,3.07,3.0,3.0,304725
2016-03-15,3.0,3.0,2.94,2.99,384874
2016-03-16,2.99,3.03,2.94,2.99,437434
2016-03-17,2.97,3.05,2.97,3.02,385178
2016-03-18,3.05,3.06,2.99,3.0,1124047
2016-03-21,3.01,3.04,2.97,3.0,404540
2016-03-22,2.98,3.05,2.96,3.02,312237
2016-03-23,3.0,3.01,2.96,2.97,435634
2016-03-24,2.98,3.07,2.95,3.03,742644
2016-03-28,3.02,3.16,3.01,3.12,595367
2016-03-29,3.09,3.15,3.01,3.14,1405125
2016-03-30,3.14,3.2,3.05,3.1,1057162
2016-03-31,3.1,3.18,3.09,3.11,850372
2016-04-01,3.09,3.12,3.06,3.11,284454
2016-04-04,3.1,3.17,3.08,3.13,795857
2016-04-05,3.1,3.15,3.06,3.13,444664
2016-04-06,3.14,3.28,3.1,3.22,1034785
2016-04-07,3.2,3.21,3.05,3.08,552858
2016-04-08,3.12,3.13,3.02,3.09,615600
2016-04-11,3.15,3.27,3.1,3.19,639140
2016-04-12,3.17,3.17,3.07,3.13,1110068
2016-04-13,3.13,3.26,3.13,3.25,347830
2016-04-14,3.24,3.31,3.18,3.26,790904
2016-04-15,3.24,3.27,3.18,3.21,317518
2016-04-18,3.16,3.25,3.14,3.16,304177
2016-04-19,3.17,3.24,3.15,3.2,391423
2016-04-20,3.18,3.28,3.15,3.27,353352
2016-04-21,3.25,3.32,3.21,3.22,490106
2016-04-22,3.15,3.28,3.14,3.2,576055
2016-04-25,3.21,3.24,3.13,3.15,839912
2016-04-26,3.18,3.24,3.15,3.16,1019014
2016-04-27,3.19,3.31,3.15,3.3,987320
2016-04-28,3.5,3.65,3.33,3.34,1185568
2016-04-29,3.36,3.51,3.33,3.51,818443
2016-05-02,3.49,3.63,3.42,3.61,1553906
2016-05-03,3.61,3.62,3.5,3.51,373578
2016-05-04,3.52,3.6,3.48,3.5,460723
2016-05-05,3.54,3.54,3.44,3.44,393721
2016-05-06,3.45,3.5,3.4,3.41,257517
2016-05-09,3.43,3.49,3.41,3.46,398404
2016-05-10,3.48,3.5,3.43,3.46,551156
2016-05-11,3.45,3.49,3.44,3.47,353328
2016-05-12,3.46,3.47,3.34,3.42,419181
2016-05-13,3.4,3.44,3.36,3.38,232424
2016-05-16,3.41,3.46,3.4,3.41,459424
2016-05-17,3.42,3.43,3.35,3.4,580585
2016-05-18,3.38,3.43,3.37,3.4,210706
2016-05-19,3.46,3.47,3.39,3.45,651350
2016-05-20,3.47,3.53,3.44,3.51,562965
2016-05-23,3.51,3.72,3.46,3.71,879726
2016-05-24,3.72,3.79,3.68,3.74,977277
2016-05-25,3.74,3.8,3.64,3.69,826749
2016-05-26,3.7,3.73,3.65,3.72,246658
2016-05-27,3.71,3.78,3.68,3.7,463191
2016-05-31,3.7,3.78,3.66,3.69,821522
2016-06-01,3.69,3.76,3.6,3.76,518625
2016-06-02,3.72,3.81,3.68,3.78,321842
2016-06-03,3.78,3.8,3.64,3.68,370312
2016-06-06,3.7,3.71,3.64,3.69,488475
2016-06-07,3.68,3.72,3.65,3.67,460724
2016-06-08,3.67,3.74,3.64,3.73,481110
2016-06-09,3.7,3.7,3.53,3.54,637687
2016-06-10,3.5,3.56,3.49,3.52,474264
2016-06-13,3.49,3.53,3.48,3.52,376433
2016-06-14,3.5,3.58,3.49,3.55,300527
2016-06-15,3.56,3.62,3.5,3.57,154539
2016-06-16,3.56,3.62,3.52,3.6,177969
2016-06-17,3.59,3.59,3.5,3.52,547993
2016-06-20,3.56,3.62,3.56,3.58,248877
2016-06-21,3.6,3.61,3.5,3.54,332666
2016-06-22,3.56,3.58,3.49,3.53,303302
2016-06-23,3.54,3.6,3.54,3.58,246268
2016-06-24,3.4,3.42,3.27,3.29,2925634
2016-06-27,3.25,3.28,3.07,3.15,935433
2016-06-28,3.19,3.24,3.15,3.18,562257
2016-06-29,3.19,3.38,3.17,3.34,577134
2016-06-30,3.36,3.41,3.32,3.39,831803
2016-07-01,3.37,3.5,3.37,3.45,721838
2016-07-05,3.44,3.48,3.4,3.41,306341
2016-07-06,3.38,3.43,3.34,3.38,283910
2016-07-07,3.38,3.43,3.36,3.37,472879
2016-07-08,3.41,3.54,3.37,3.54,606737
2016-07-11,3.52,3.64,3.5,3.64,523663
2016-07-12,3.64,3.66,3.6,3.6,508946
2016-07-13,3.61,3.64,3.56,3.59,617254
2016-07-14,3.62,3.7,3.58,3.61,435195
2016-07-15,3.64,3.68,3.56,3.64,780680
2016-07-18,3.63,3.7,3.61,3.63,332608
2016-07-19,3.61,3.73,3.59,3.64,374308
2016-07-20,3.66,3.77,3.65,3.73,531569
2016-07-21,3.72,3.91,3.7,3.86,1364058
2016-07-22,3.87,3.89,3.78,3.88,444744
2016-07-25,3.87,3.91,3.79,3.89,298388
2016-07-26,3.9,3.95,3.82,3.89,365764
2016-07-27,3.88,3.91,3.79,3.91,573854
2016-07-28,3.86,3.87,3.84,3.86,368858
2016-07-29,3.85,3.94,3.81,3.89,389289
2016-08-01,3.85,3.89,3.73,3.8,819230
2016-08-02,3.77,3.86,3.74,3.84,643801
2016-08-03,3.8,3.97,3.77,3.88,659964
2016-08-04,3.88,4.0,3.7,3.87,739515
2016-08-05,3.9,3.98,3.82,3.98,480273
2016-08-08,3.98,4.01,3.94,4.0,527259
2016-08-09,4.03,4.16,4.0,4.1,884652
2016-08-10,4.07,4.11,3.95,3.97,274003
2016-08-11,3.79,4.1,3.76,4.05,469823
2016-08-12,4.04,4.09,3.93,3.99,354409
2016-08-15,3.99,4.06,3.98,4.0,407755
2016-08-16,4.0,4.0,3.92,4.0,363905
2016-08-17,3.98,4.0,3.93,3.95,239211
2016-08-18,3.96,4.0,3.91,3.94,267768
2016-08-19,3.93,3.97,3.89,3.9,426742
2016-08-22,3.86,3.93,3.86,3.9,201845
2016-08-23,3.93,4.0,3.92,3.96,629680
2016-08-24,3.99,3.99,3.89,3.92,242633
2016-08-25,3.88,3.97,3.88,3.93,307952
2016-08-26,3.96,3.97,3.87,3.91,321715
2016-08-29,3.95,3.95,3.89,3.94,249258
2016-08-30,3.93,3.97,3.88,3.91,170084
2016-08-31,3.94,3.98,3.89,3.93,394719
2016-09-01,3.93,3.98,3.86,3.89,329164
2016-09-02,3.93,3.98,3.88,3.89,194927
2016-09-06,3.91,3.95,3.88,3.93,410524
2016-09-07,3.95,4.01,3.94,3.94,356881
2016-09-08,3.93,3.97,3.91,3.95,168496
2016-09-09,3.91,3.95,3.81,3.81,281441
2016-09-12,3.76,3.86,3.76,3.86,193852
2016-09-13,3.9,3.91,3.75,3.75,419320
2016-09-14,3.85,4.05,3.79,4.01,777391
2016-09-15,4.16,4.4,4.14,4.37,1152241
2016-09-16,4.37,4.4,4.12,4.23,932207
2016-09-19,4.25,4.4,4.25,4.4,567020
2016-09-20,4.41,4.49,4.36,4.41,810837
2016-09-21,4.43,4.5,4.38,4.5,801776
2016-09-22,4.5,4.51,4.45,4.49,792966
2016-09-23,4.45,4.51,4.39,4.49,677370
2016-09-26,4.48,4.59,4.42,4.45,843480
2016-09-27,4.42,4.52,4.42,4.49,713140
2016-09-28,4.48,4.58,4.44,4.54,714562
2016-09-29,4.55,4.57,4.49,4.52,404669
2016-09-30,4.52,4.56,4.48,4.49,640156
2016-10-03,4.52,4.63,4.48,4.62,753579
2016-10-04,4.6,4.67,4.57,4.6,521165
2016-10-05,4.64,4.69,4.6,4.64,325436
2016-10-06,4.64,4.71,4.55,4.59,517834
2016-10-07,4.57,4.67,4.54,4.59,408074
2016-10-10,4.58,4.7,4.45,4.65,390075
2016-10-11,4.62,4.66,4.41,4.44,392216
2016-10-12,4.41,4.55,4.37,4.45,375621
2016-10-13,4.43,4.53,4.38,4.41,469233
2016-10-14,4.39,4.39,4.07,4.14,1220691
2016-10-17,4.1,4.18,4.07,4.14,723612
2016-10-18,4.22,4.23,4.09,4.13,480464
2016-10-19,4.17,4.18,4.1,4.16,354270
2016-10-20,4.14,4.19,4.08,4.08,430767
2016-10-21,4.05,4.12,4.03,4.06,376395
2016-10-24,4.08,4.17,4.08,4.1,502894
2016-10-25,4.08,4.3,4.08,4.28,1854288
2016-10-26,4.3,4.34,4.21,4.25,803876
2016-10-27,4.26,4.27,4.17,4.18,318857
2016-10-28,4.19,4.21,4.03,4.05,346943
2016-10-31,4.06,4.23,4.02,4.21,756718
2016-11-01,4.18,4.26,4.05,4.07,582856
2016-11-02,4.1,4.38,4.05,4.33,1285036
2016-11-03,4.36,4.4,4.27,4.28,389517
2016-11-04,4.26,4.34,4.24,4.31,639964
2016-11-07,4.35,4.4,4.26,4.3,670031
2016-11-08,4.28,4.3,4.22,4.23,784386
2016-11-09,4.18,4.33,4.1,4.3,817930
2016-11-10,4.35,4.37,4.23,4.28,790702
2016-11-11,4.3,4.55,4.24,4.54,958656
2016-11-14,4.6,4.62,4.51,4.62,748013
2016-11-15,4.62,4.66,4.59,4.66,407008
2016-11-16,4.66,4.7,4.58,4.61,547639
2016-11-17,4.56,4.63,4.51,4.57,602025
2016-11-18,4.55,4.6,4.52,4.57,517848
2016-11-21,4.7,4.7,4.56,4.62,364629
2016-11-22,4.61,4.61,4.43,4.49,502999
2016-11-23,4.48,4.6,4.24,4.59,389467
2016-11-25,4.56,4.58,4.53,4.54,107338
2016-11-28,4.57,4.58,4.42,4.49,367496
2016-11-29,4.51,4.55,4.47,4.48,172023
2016-11-30,4.47,4.5,4.17,4.23,845581
2016-12-01,4.24,4.34,4.22,4.29,443723
2016-12-02,4.29,4.32,4.25,4.28,190145
2016-12-05,4.29,4.46,4.28,4.43,453965
2016-12-06,4.41,4.46,4.36,4.37,411035
2016-12-07,4.37,4.56,4.37,4.51,400407
2016-12-08,4.51,4.92,4.5,4.83,1113549
2016-12-09,4.83,4.89,4.76,4.88,642912
2016-12-12,4.92,4.92,4.72,4.73,861086
2016-12-13,4.75,5.02,4.75,4.97,1393540
2016-12-14,4.92,4.97,4.88,4.94,683419
2016-12-15,4.95,5.13,4.9,5.1,1135999
2016-12-16,5.15,5.2,5.01,5.03,3894777
2016-12-19,5.05,5.1,4.92,5.02,665606
2016-12-20,5.06,5.15,5.0,5.04,505778
2016-12-21,5.1,5.13,5.0,5.03,636683
2016-12-22,5.05,5.08,4.91,4.92,617260
2016-12-23,4.91,5.02,4.91,5.0,442231
2016-12-27,5.05,5.18,5.0,5.06,577528
2016-12-28,5.08,5.13,5.0,5.05,468576
2016-12-29,5.04,5.09,4.99,5.05,494167
2016-12-30,5.08,5.08,4.97,5.03,579264
2017-01-03,5.05,5.25,5.05,5.18,1279575
2017-01-04,5.25,5.27,5.14,5.17,689332
2017-01-05,5.12,5.22,5.1,5.15,561221
2017-01-06,5.17,5.3,5.15,5.28,1086934
